model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_0	7	4710	588	587	0.939153	0.608696	0.0462428	0.952765	0.7355	0.764706	0.0385356	0.905864	337	0.838399	0.667302	0.647887	0.203008
linear	cot_0	8	4710	588	587	0.941331	0.536232	0.044316	0.957044	0.772677	0.705882	0.0308285	0.915856	337	0.849042	0.678255	0.647887	0.199248
linear	cot_0	14	4710	588	587	0.936807	0.550725	0.0481696	0.957242	0.778485	0.764706	0.044316	0.898361	337	0.854548	0.670293	0.647887	0.206767
linear	cot_0	16	4710	588	587	0.943118	0.608696	0.0423892	0.958518	0.777582	0.794118	0.0404624	0.8949	337	0.849042	0.642162	0.676056	0.210526
linear	cot_0	17	4710	588	587	0.94228	0.594203	0.0462428	0.959028	0.769039	0.794118	0.0404624	0.889409	337	0.846288	0.666217	0.704225	0.206767
linear	cot_0	20	4710	588	587	0.943341	0.623188	0.0404624	0.954721	0.765358	0.779412	0.0404624	0.894557	337	0.832363	0.632568	0.633803	0.203008
linear	cot_0	21	4710	588	587	0.944961	0.637681	0.0481696	0.954862	0.768631	0.794118	0.0423892	0.88	337	0.856984	0.662899	0.690141	0.225564
linear	cot_0	22	4710	588	587	0.944486	0.608696	0.0346821	0.955514	0.770978	0.779412	0.0385356	0.9	337	0.853119	0.662205	0.676056	0.210526
linear	cot_0	24	4710	588	587	0.946441	0.623188	0.0462428	0.956874	0.774881	0.808824	0.0462428	0.887129	337	0.84237	0.662275	0.676056	0.229323
linear	cot_0	25	4710	588	587	0.94538	0.608696	0.0423892	0.955344	0.772864	0.779412	0.0385356	0.897478	337	0.840411	0.644635	0.647887	0.210526
linear	cot_0	28	4710	588	587	0.947139	0.608696	0.044316	0.958971	0.774257	0.794118	0.0346821	0.897116	337	0.856402	0.670242	0.661972	0.203008
linear	cot_0	32	4710	588	587	0.949178	0.666667	0.0462428	0.957979	0.777082	0.823529	0.044316	0.891593	337	0.854601	0.684169	0.690141	0.195489
linear	cot_1	7	4710	588	587	0.941694	0.594203	0.0481696	0.956562	0.737823	0.75	0.0308285	0.88	337	0.828974	0.636681	0.633803	0.157895
linear	cot_1	8	4710	588	587	0.940074	0.594203	0.0462428	0.956761	0.757466	0.75	0.0289017	0.882254	337	0.856613	0.650614	0.633803	0.146617
linear	cot_1	14	4710	588	587	0.94295	0.565217	0.044316	0.962824	0.802927	0.735294	0.0404624	0.927058	337	0.81023	0.598895	0.549296	0.0977444
linear	cot_1	16	4710	588	587	0.945799	0.637681	0.044316	0.957866	0.79449	0.764706	0.0462428	0.896385	337	0.840834	0.605576	0.56338	0.105263
linear	cot_1	17	4710	588	587	0.943034	0.666667	0.0481696	0.960529	0.801882	0.720588	0.0481696	0.9059	337	0.855872	0.604161	0.450704	0.0864662
linear	cot_1	20	4710	588	587	0.941135	0.637681	0.0423892	0.959566	0.789966	0.705882	0.0481696	0.92	337	0.854495	0.592544	0.450704	0.101504
linear	cot_1	21	4710	588	587	0.939572	0.623188	0.044316	0.961521	0.795134	0.691176	0.0520231	0.911791	337	0.84973	0.585249	0.464789	0.101504
linear	cot_1	22	4710	588	587	0.939627	0.652174	0.0481696	0.961068	0.799137	0.75	0.0578035	0.900741	337	0.854072	0.599423	0.535211	0.105263
linear	cot_1	24	4710	588	587	0.936835	0.594203	0.0462428	0.963391	0.800712	0.75	0.0481696	0.91626	337	0.856349	0.58842	0.464789	0.0977444
linear	cot_1	25	4710	588	587	0.935104	0.57971	0.044316	0.961804	0.791087	0.720588	0.0481696	0.919332	337	0.852695	0.592327	0.43662	0.093985
linear	cot_1	28	4710	588	587	0.931641	0.623188	0.0481696	0.958659	0.781266	0.705882	0.0500963	0.915417	337	0.846977	0.568027	0.408451	0.093985
linear	cot_1	32	4710	588	587	0.9291	0.57971	0.0481696	0.954211	0.758081	0.691176	0.0481696	0.91366	337	0.854284	0.569089	0.422535	0.0902256
