model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	pause_0	7	8884	1128	1135	0.941724	0.646429	0.0483491	0.948067	0.852667	0.676976	0.0533175	0.877415	1722	0.840381	0.671652	0.48932	0.081193
linear	pause_0	8	8884	1128	1135	0.944988	0.667857	0.0495283	0.949138	0.85295	0.707904	0.056872	0.866412	1722	0.823722	0.655306	0.487379	0.0936205
linear	pause_0	14	8884	1128	1135	0.950467	0.664286	0.0483491	0.950689	0.849733	0.694158	0.0521327	0.86	1722	0.832754	0.666631	0.508738	0.0919635
linear	pause_0	16	8884	1128	1135	0.954717	0.696429	0.0495283	0.954813	0.856693	0.725086	0.0616114	0.85	1722	0.83601	0.673936	0.514563	0.112676
linear	pause_0	17	8884	1128	1135	0.95534	0.714286	0.0483491	0.953702	0.853911	0.721649	0.0592417	0.841134	1722	0.840542	0.66661	0.508738	0.103563
linear	pause_0	20	8884	1128	1135	0.953993	0.664286	0.0459906	0.956283	0.861446	0.701031	0.0509479	0.876714	1722	0.842931	0.674411	0.479612	0.091135
linear	pause_0	21	8884	1128	1135	0.954776	0.7	0.0495283	0.954313	0.85137	0.725086	0.0580569	0.867938	1722	0.829929	0.65758	0.487379	0.092792
linear	pause_0	22	8884	1128	1135	0.953988	0.657143	0.0471698	0.957464	0.863156	0.704467	0.0545024	0.881965	1722	0.830149	0.665518	0.464078	0.086164
linear	pause_0	24	8884	1128	1135	0.956124	0.696429	0.0495283	0.956662	0.860803	0.725086	0.0604265	0.864909	1722	0.834342	0.671442	0.504854	0.094449
linear	pause_0	25	8884	1128	1135	0.95497	0.678571	0.0459906	0.959003	0.871684	0.694158	0.0533175	0.873387	1722	0.821382	0.663191	0.479612	0.087821
linear	pause_0	28	8884	1128	1135	0.959324	0.696429	0.0495283	0.960453	0.872137	0.725086	0.0556872	0.858758	1722	0.822522	0.661942	0.485437	0.0985915
linear	pause_0	32	8884	1128	1135	0.960217	0.689286	0.0471698	0.963539	0.887781	0.769759	0.0533175	0.869476	1722	0.850119	0.691144	0.481553	0.092792
linear	pause_1	7	8884	1128	1135	0.942158	0.682143	0.0495283	0.950135	0.854418	0.707904	0.0627962	0.85944	1722	0.837957	0.669708	0.508738	0.0952775
linear	pause_1	8	8884	1128	1135	0.941295	0.685714	0.0495283	0.947745	0.844846	0.721649	0.0663507	0.85	1722	0.838174	0.670188	0.526214	0.0985915
linear	pause_1	14	8884	1128	1135	0.947128	0.689286	0.0483491	0.953209	0.852718	0.704467	0.0533175	0.856762	1722	0.85003	0.684885	0.530097	0.0985915
linear	pause_1	16	8884	1128	1135	0.949962	0.675	0.0483491	0.954178	0.8585	0.731959	0.0580569	0.85625	1722	0.848392	0.686117	0.524272	0.104391
linear	pause_1	17	8884	1128	1135	0.948379	0.664286	0.0483491	0.953857	0.859568	0.735395	0.0604265	0.85	1722	0.850291	0.680986	0.532039	0.104391
linear	pause_1	20	8884	1128	1135	0.952047	0.696429	0.0471698	0.955331	0.859751	0.742268	0.0604265	0.855347	1722	0.859087	0.692172	0.533981	0.094449
linear	pause_1	21	8884	1128	1135	0.952093	0.703571	0.0495283	0.955815	0.859842	0.71134	0.0545024	0.862588	1722	0.857419	0.688428	0.518447	0.097763
linear	pause_1	22	8884	1128	1135	0.952076	0.682143	0.0495283	0.953779	0.853254	0.697595	0.0521327	0.873957	1722	0.851478	0.687927	0.481553	0.08285
linear	pause_1	24	8884	1128	1135	0.95449	0.7	0.0495283	0.956772	0.859497	0.71134	0.0556872	0.861934	1722	0.859259	0.697339	0.514563	0.0936205
linear	pause_1	25	8884	1128	1135	0.953028	0.696429	0.0483491	0.955864	0.859493	0.676976	0.0521327	0.869722	1722	0.85633	0.689504	0.512621	0.0919635
linear	pause_1	28	8884	1128	1135	0.954645	0.707143	0.0483491	0.957578	0.868731	0.701031	0.0545024	0.858394	1722	0.858418	0.702959	0.518447	0.0869925
linear	pause_1	32	8884	1128	1135	0.95996	0.689286	0.0495283	0.959805	0.875802	0.735395	0.0592417	0.86	1722	0.874333	0.726037	0.553398	0.086164
linear	pause_2	7	8884	1128	1135	0.941749	0.667857	0.0483491	0.950954	0.858716	0.728522	0.0592417	0.852043	1722	0.842131	0.675076	0.568932	0.110191
linear	pause_2	8	8884	1128	1135	0.940987	0.639286	0.0483491	0.949671	0.855457	0.683849	0.0556872	0.87	1722	0.845193	0.678709	0.535922	0.0952775
linear	pause_2	14	8884	1128	1135	0.948741	0.682143	0.0483491	0.954585	0.855442	0.694158	0.0545024	0.86919	1722	0.85933	0.694363	0.553398	0.097763
linear	pause_2	16	8884	1128	1135	0.951828	0.675	0.0448113	0.95487	0.855219	0.71134	0.0556872	0.868224	1722	0.866285	0.700803	0.553398	0.09942
linear	pause_2	17	8884	1128	1135	0.953365	0.678571	0.0495283	0.956104	0.857401	0.718213	0.0545024	0.862252	1722	0.868042	0.704993	0.570874	0.101906
linear	pause_2	20	8884	1128	1135	0.952215	0.710714	0.0483491	0.957554	0.858156	0.728522	0.0687204	0.842186	1722	0.86906	0.706908	0.601942	0.106877
linear	pause_2	21	8884	1128	1135	0.951579	0.717857	0.0495283	0.957403	0.856242	0.714777	0.0651659	0.84	1722	0.876193	0.721601	0.619417	0.101906
linear	pause_2	22	8884	1128	1135	0.956242	0.714286	0.0483491	0.957859	0.865319	0.752577	0.0663507	0.856226	1722	0.871383	0.711891	0.578641	0.094449
linear	pause_2	24	8884	1128	1135	0.955774	0.696429	0.0495283	0.957049	0.855811	0.718213	0.0545024	0.856392	1722	0.869731	0.708817	0.547573	0.0886495
linear	pause_2	25	8884	1128	1135	0.955134	0.7	0.0483491	0.957383	0.864423	0.728522	0.056872	0.86339	1722	0.867203	0.703892	0.565049	0.100249
linear	pause_2	28	8884	1128	1135	0.956747	0.703571	0.0483491	0.957863	0.865291	0.725086	0.0509479	0.866816	1722	0.861875	0.708984	0.539806	0.089478
linear	pause_2	32	8884	1128	1135	0.95876	0.710714	0.0495283	0.960485	0.879999	0.742268	0.0509479	0.873242	1722	0.87244	0.719534	0.495146	0.0803645
linear	pre_pause_1	7	8884	1128	1135	0.952839	0.710714	0.0471698	0.955742	0.866747	0.721649	0.0509479	0.856063	1722	0.835973	0.665415	0.520388	0.092792
linear	pre_pause_1	8	8884	1128	1135	0.953226	0.721429	0.0495283	0.955176	0.866847	0.756014	0.0627962	0.833844	1722	0.838634	0.670285	0.535922	0.106048
linear	pre_pause_1	14	8884	1128	1135	0.964231	0.746429	0.0471698	0.95794	0.877452	0.783505	0.0675355	0.853168	1722	0.872556	0.721759	0.586408	0.0919635
linear	pre_pause_1	16	8884	1128	1135	0.965642	0.760714	0.0495283	0.963698	0.897077	0.790378	0.0663507	0.86	1722	0.893812	0.75	0.61165	0.08285
linear	pre_pause_1	17	8884	1128	1135	0.96429	0.735714	0.0495283	0.962965	0.896898	0.790378	0.0521327	0.866367	1722	0.896182	0.750326	0.603883	0.0886495
linear	pre_pause_1	20	8884	1128	1135	0.961304	0.739286	0.0483491	0.966755	0.902498	0.814433	0.0675355	0.86355	1722	0.884813	0.734365	0.565049	0.0952775
linear	pre_pause_1	21	8884	1128	1135	0.959131	0.675	0.0483491	0.965917	0.897999	0.786942	0.0533175	0.875173	1722	0.886129	0.740934	0.561165	0.076222
linear	pre_pause_1	22	8884	1128	1135	0.962028	0.778571	0.0459906	0.963384	0.892047	0.804124	0.063981	0.859193	1722	0.884623	0.73521	0.578641	0.0952775
linear	pre_pause_1	24	8884	1128	1135	0.959581	0.742857	0.0495283	0.963816	0.893124	0.793814	0.0627962	0.865724	1722	0.88669	0.739652	0.584466	0.0903065
linear	pre_pause_1	25	8884	1128	1135	0.959127	0.728571	0.0459906	0.963091	0.893433	0.814433	0.063981	0.866783	1722	0.878452	0.724298	0.518447	0.0936205
linear	pre_pause_1	28	8884	1128	1135	0.962871	0.742857	0.0471698	0.964602	0.890242	0.817869	0.0616114	0.855667	1722	0.887412	0.739641	0.565049	0.0919635
linear	pre_pause_1	32	8884	1128	1135	0.96154	0.714286	0.0471698	0.961356	0.878974	0.80756	0.0651659	0.854379	1722	0.883255	0.733109	0.586408	0.096106
