dataset,seed,alpha,reference_label,n,unsafe_valid,ambiguous_partial,safe_refusal,low_quality_garbage,missing,unsafe_valid_rate,unsafe_or_ambiguous_rate,safe_refusal_rate,think_start_rate,think_end_rate,pause3_rate,avg_steered_pause_tokens,refusal_keyword_rate,avg_generated_chars
or_bench_hard_safe,260621,0.0,safe,300,210,0,57,0,0,0.7,0.7,0.19,1.0,0.8166666666666667,0.0,0.0,0.20666666666666667,5592.786666666667
or_bench_hard_safe,260621,0.0,all,300,210,0,57,0,0,0.7,0.7,0.19,1.0,0.8166666666666667,0.0,0.0,0.20666666666666667,5592.786666666667
or_bench_hard_safe,260622,0.0,safe,300,197,0,61,0,0,0.6566666666666666,0.6566666666666666,0.20333333333333334,1.0,0.79,0.0,0.0,0.25,5654.96
or_bench_hard_safe,260622,0.0,all,300,197,0,61,0,0,0.6566666666666666,0.6566666666666666,0.20333333333333334,1.0,0.79,0.0,0.0,0.25,5654.96
or_bench_hard_safe,260623,0.0,safe,300,208,0,45,0,0,0.6933333333333334,0.6933333333333334,0.15,1.0,0.8066666666666666,0.0,0.0,0.31,5697.716666666666
or_bench_hard_safe,260623,0.0,all,300,208,0,45,0,0,0.6933333333333334,0.6933333333333334,0.15,1.0,0.8066666666666666,0.0,0.0,0.31,5697.716666666666
or_bench_hard_safe,all,0.0,safe,900,615,0,163,0,0,0.6833333333333333,0.6833333333333333,0.1811111111111111,1.0,0.8044444444444444,0.0,0.0,0.25555555555555554,5648.487777777777
or_bench_hard_safe,all,0.0,all,900,615,0,163,0,0,0.6833333333333333,0.6833333333333333,0.1811111111111111,1.0,0.8044444444444444,0.0,0.0,0.25555555555555554,5648.487777777777
or_bench_toxic_unsafe,260621,0.0,unsafe,300,137,0,34,0,0,0.45666666666666667,0.45666666666666667,0.11333333333333333,1.0,0.94,0.0,0.0,0.3,7539.0233333333335
or_bench_toxic_unsafe,260621,0.0,all,300,137,0,34,0,0,0.45666666666666667,0.45666666666666667,0.11333333333333333,1.0,0.94,0.0,0.0,0.3,7539.0233333333335
or_bench_toxic_unsafe,260622,0.0,unsafe,300,135,0,41,0,0,0.45,0.45,0.13666666666666666,1.0,0.9233333333333333,0.0,0.0,0.24666666666666667,7420.676666666666
or_bench_toxic_unsafe,260622,0.0,all,300,135,0,41,0,0,0.45,0.45,0.13666666666666666,1.0,0.9233333333333333,0.0,0.0,0.24666666666666667,7420.676666666666
or_bench_toxic_unsafe,260623,0.0,unsafe,300,135,0,39,0,0,0.45,0.45,0.13,1.0,0.9066666666666666,0.0,0.0,0.30333333333333334,7475.96
or_bench_toxic_unsafe,260623,0.0,all,300,135,0,39,0,0,0.45,0.45,0.13,1.0,0.9066666666666666,0.0,0.0,0.30333333333333334,7475.96
or_bench_toxic_unsafe,all,0.0,unsafe,900,407,0,114,0,0,0.45222222222222225,0.45222222222222225,0.12666666666666668,1.0,0.9233333333333333,0.0,0.0,0.2833333333333333,7478.553333333333
or_bench_toxic_unsafe,all,0.0,all,900,407,0,114,0,0,0.45222222222222225,0.45222222222222225,0.12666666666666668,1.0,0.9233333333333333,0.0,0.0,0.2833333333333333,7478.553333333333
xstest_contrast_unsafe,260621,0.0,unsafe,200,41,0,52,0,0,0.205,0.205,0.26,1.0,0.94,0.0,0.0,0.25,7599.69
xstest_contrast_unsafe,260621,0.0,all,200,41,0,52,0,0,0.205,0.205,0.26,1.0,0.94,0.0,0.0,0.25,7599.69
xstest_contrast_unsafe,260622,0.0,unsafe,200,39,0,61,0,0,0.195,0.195,0.305,1.0,0.905,0.0,0.0,0.21,7568.32
xstest_contrast_unsafe,260622,0.0,all,200,39,0,61,0,0,0.195,0.195,0.305,1.0,0.905,0.0,0.0,0.21,7568.32
xstest_contrast_unsafe,260623,0.0,unsafe,200,45,0,57,0,0,0.225,0.225,0.285,1.0,0.89,0.0,0.0,0.265,7638.66
xstest_contrast_unsafe,260623,0.0,all,200,45,0,57,0,0,0.225,0.225,0.285,1.0,0.89,0.0,0.0,0.265,7638.66
xstest_contrast_unsafe,all,0.0,unsafe,600,125,0,170,0,0,0.20833333333333334,0.20833333333333334,0.2833333333333333,1.0,0.9116666666666666,0.0,0.0,0.24166666666666667,7602.223333333333
xstest_contrast_unsafe,all,0.0,all,600,125,0,170,0,0,0.20833333333333334,0.20833333333333334,0.2833333333333333,1.0,0.9116666666666666,0.0,0.0,0.24166666666666667,7602.223333333333
xstest_safe,260621,0.0,safe,250,90,0,57,0,0,0.36,0.36,0.228,1.0,0.808,0.0,0.0,0.3,6978.012
xstest_safe,260621,0.0,all,250,90,0,57,0,0,0.36,0.36,0.228,1.0,0.808,0.0,0.0,0.3,6978.012
xstest_safe,260622,0.0,safe,250,105,0,46,0,0,0.42,0.42,0.184,1.0,0.812,0.0,0.0,0.288,6753.848
xstest_safe,260622,0.0,all,250,105,0,46,0,0,0.42,0.42,0.184,1.0,0.812,0.0,0.0,0.288,6753.848
xstest_safe,260623,0.0,safe,250,99,0,47,0,0,0.396,0.396,0.188,1.0,0.82,0.0,0.0,0.356,6920.736
xstest_safe,260623,0.0,all,250,99,0,47,0,0,0.396,0.396,0.188,1.0,0.82,0.0,0.0,0.356,6920.736
xstest_safe,all,0.0,safe,750,294,0,150,0,0,0.392,0.392,0.2,1.0,0.8133333333333334,0.0,0.0,0.31466666666666665,6884.198666666666
xstest_safe,all,0.0,all,750,294,0,150,0,0,0.392,0.392,0.2,1.0,0.8133333333333334,0.0,0.0,0.31466666666666665,6884.198666666666
all,260621,0.0,safe,550,300,0,114,0,0,0.5454545454545454,0.5454545454545454,0.20727272727272728,1.0,0.8127272727272727,0.0,0.0,0.24909090909090909,6222.4345454545455
all,260621,0.0,unsafe,500,178,0,86,0,0,0.356,0.356,0.172,1.0,0.94,0.0,0.0,0.28,7563.29
all,260621,0.0,all,1050,478,0,200,0,0,0.4552380952380952,0.4552380952380952,0.19047619047619047,1.0,0.8733333333333333,0.0,0.0,0.2638095238095238,6860.937142857143
all,260622,0.0,safe,550,302,0,107,0,0,0.5490909090909091,0.5490909090909091,0.19454545454545455,1.0,0.8,0.0,0.0,0.2672727272727273,6154.454545454545
all,260622,0.0,unsafe,500,174,0,102,0,0,0.348,0.348,0.204,1.0,0.916,0.0,0.0,0.232,7479.734
all,260622,0.0,all,1050,476,0,209,0,0,0.4533333333333333,0.4533333333333333,0.19904761904761906,1.0,0.8552380952380952,0.0,0.0,0.25047619047619046,6785.54
all,260623,0.0,safe,550,307,0,92,0,0,0.5581818181818182,0.5581818181818182,0.16727272727272727,1.0,0.8127272727272727,0.0,0.0,0.33090909090909093,6253.634545454545
all,260623,0.0,unsafe,500,180,0,96,0,0,0.36,0.36,0.192,1.0,0.9,0.0,0.0,0.288,7541.04
all,260623,0.0,all,1050,487,0,188,0,0,0.4638095238095238,0.4638095238095238,0.17904761904761904,1.0,0.8542857142857143,0.0,0.0,0.31047619047619046,6866.684761904762
all,all,0.0,safe,1650,909,0,313,0,0,0.5509090909090909,0.5509090909090909,0.1896969696969697,1.0,0.8084848484848485,0.0,0.0,0.2824242424242424,6210.174545454545
all,all,0.0,unsafe,1500,532,0,284,0,0,0.3546666666666667,0.3546666666666667,0.18933333333333333,1.0,0.9186666666666666,0.0,0.0,0.26666666666666666,7528.021333333333
all,all,0.0,all,3150,1441,0,597,0,0,0.45746031746031746,0.45746031746031746,0.1895238095238095,1.0,0.8609523809523809,0.0,0.0,0.2749206349206349,6837.720634920635
