model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_4	7	4710	588	587	0.962833	0.826087	0.0481696	0.975887	0.828471	0.867647	0.061657	0.768944	337	0.916976	0.695699	0.901408	0.206767
linear	cot_4	8	4710	588	587	0.960962	0.797101	0.044316	0.975717	0.819175	0.867647	0.0558767	0.839487	337	0.90861	0.674737	0.816901	0.157895
linear	cot_4	14	4710	588	587	0.965178	0.811594	0.0462428	0.977474	0.864897	0.926471	0.0712909	0.775172	337	0.923912	0.703056	0.929577	0.210526
linear	cot_4	16	4710	588	587	0.961604	0.797101	0.0346821	0.981922	0.863021	0.897059	0.0404624	0.86	337	0.914646	0.680245	0.774648	0.131579
linear	cot_4	17	4710	588	587	0.958337	0.811594	0.044316	0.981299	0.832884	0.941176	0.0674374	0.806932	337	0.906809	0.670877	0.802817	0.180451
linear	cot_4	20	4710	588	587	0.953562	0.797101	0.0481696	0.98008	0.842165	0.882353	0.0578035	0.83	337	0.913746	0.695144	0.802817	0.176692
linear	cot_4	21	4710	588	587	0.953115	0.797101	0.0481696	0.978834	0.834766	0.897059	0.0597303	0.837273	337	0.909139	0.688659	0.830986	0.184211
linear	cot_4	22	4710	588	587	0.954623	0.782609	0.0481696	0.976822	0.808886	0.867647	0.0558767	0.86	337	0.891136	0.649502	0.802817	0.157895
linear	cot_4	24	4710	588	587	0.952696	0.768116	0.044316	0.978777	0.809459	0.897059	0.0462428	0.88	337	0.885047	0.645842	0.746479	0.146617
linear	cot_4	25	4710	588	587	0.951635	0.782609	0.0481696	0.977304	0.804487	0.882353	0.0500963	0.879031	337	0.878852	0.642207	0.704225	0.161654
linear	cot_4	28	4710	588	587	0.955656	0.753623	0.0366089	0.981469	0.851605	0.897059	0.044316	0.872628	337	0.884306	0.642139	0.71831	0.172932
linear	cot_4	32	4710	588	587	0.952668	0.768116	0.044316	0.977049	0.837058	0.867647	0.0481696	0.84	337	0.877422	0.660092	0.760563	0.203008
