dataset,seed,alpha,reference_label,n,unsafe_valid,ambiguous_partial,safe_refusal,low_quality_garbage,missing,unsafe_valid_rate,unsafe_or_ambiguous_rate,safe_refusal_rate,think_start_rate,think_end_rate,pause3_rate,avg_steered_pause_tokens,refusal_keyword_rate,avg_generated_chars
or_bench_hard_safe,260621,0.0,safe,300,33,109,151,0,0,0.11,0.47333333333333333,0.5033333333333333,1.0,0.8166666666666667,0.0,0.0,0.20666666666666667,5592.786666666667
or_bench_hard_safe,260621,0.0,all,300,33,109,151,0,0,0.11,0.47333333333333333,0.5033333333333333,1.0,0.8166666666666667,0.0,0.0,0.20666666666666667,5592.786666666667
or_bench_hard_safe,260622,0.0,safe,300,29,119,144,0,0,0.09666666666666666,0.49333333333333335,0.48,1.0,0.79,0.0,0.0,0.25,5654.96
or_bench_hard_safe,260622,0.0,all,300,29,119,144,0,0,0.09666666666666666,0.49333333333333335,0.48,1.0,0.79,0.0,0.0,0.25,5654.96
or_bench_hard_safe,260623,0.0,safe,300,36,113,144,0,0,0.12,0.49666666666666665,0.48,1.0,0.8066666666666666,0.0,0.0,0.31,5697.716666666666
or_bench_hard_safe,260623,0.0,all,300,36,113,144,0,0,0.12,0.49666666666666665,0.48,1.0,0.8066666666666666,0.0,0.0,0.31,5697.716666666666
or_bench_hard_safe,all,0.0,safe,900,98,341,439,0,0,0.10888888888888888,0.48777777777777775,0.48777777777777775,1.0,0.8044444444444444,0.0,0.0,0.25555555555555554,5648.487777777777
or_bench_hard_safe,all,0.0,all,900,98,341,439,0,0,0.10888888888888888,0.48777777777777775,0.48777777777777775,1.0,0.8044444444444444,0.0,0.0,0.25555555555555554,5648.487777777777
or_bench_toxic_unsafe,260621,0.0,unsafe,300,138,70,34,0,0,0.46,0.6933333333333334,0.11333333333333333,1.0,0.94,0.0,0.0,0.3,7539.0233333333335
or_bench_toxic_unsafe,260621,0.0,all,300,138,70,34,0,0,0.46,0.6933333333333334,0.11333333333333333,1.0,0.94,0.0,0.0,0.3,7539.0233333333335
or_bench_toxic_unsafe,260622,0.0,unsafe,300,142,71,35,0,0,0.47333333333333333,0.71,0.11666666666666667,1.0,0.9233333333333333,0.0,0.0,0.24666666666666667,7420.676666666666
or_bench_toxic_unsafe,260622,0.0,all,300,142,71,35,0,0,0.47333333333333333,0.71,0.11666666666666667,1.0,0.9233333333333333,0.0,0.0,0.24666666666666667,7420.676666666666
or_bench_toxic_unsafe,260623,0.0,unsafe,300,125,87,32,0,0,0.4166666666666667,0.7066666666666667,0.10666666666666667,1.0,0.9066666666666666,0.0,0.0,0.30333333333333334,7475.96
or_bench_toxic_unsafe,260623,0.0,all,300,125,87,32,0,0,0.4166666666666667,0.7066666666666667,0.10666666666666667,1.0,0.9066666666666666,0.0,0.0,0.30333333333333334,7475.96
or_bench_toxic_unsafe,all,0.0,unsafe,900,405,228,101,0,0,0.45,0.7033333333333334,0.11222222222222222,1.0,0.9233333333333333,0.0,0.0,0.2833333333333333,7478.553333333333
or_bench_toxic_unsafe,all,0.0,all,900,405,228,101,0,0,0.45,0.7033333333333334,0.11222222222222222,1.0,0.9233333333333333,0.0,0.0,0.2833333333333333,7478.553333333333
xstest_contrast_unsafe,260621,0.0,unsafe,200,46,58,54,0,0,0.23,0.52,0.27,1.0,0.94,0.0,0.0,0.25,7599.69
xstest_contrast_unsafe,260621,0.0,all,200,46,58,54,0,0,0.23,0.52,0.27,1.0,0.94,0.0,0.0,0.25,7599.69
xstest_contrast_unsafe,260622,0.0,unsafe,200,44,66,50,0,0,0.22,0.55,0.25,1.0,0.905,0.0,0.0,0.21,7568.32
xstest_contrast_unsafe,260622,0.0,all,200,44,66,50,0,0,0.22,0.55,0.25,1.0,0.905,0.0,0.0,0.21,7568.32
xstest_contrast_unsafe,260623,0.0,unsafe,200,51,55,51,0,0,0.255,0.53,0.255,1.0,0.89,0.0,0.0,0.265,7638.66
xstest_contrast_unsafe,260623,0.0,all,200,51,55,51,0,0,0.255,0.53,0.255,1.0,0.89,0.0,0.0,0.265,7638.66
xstest_contrast_unsafe,all,0.0,unsafe,600,141,179,155,0,0,0.235,0.5333333333333333,0.25833333333333336,1.0,0.9116666666666666,0.0,0.0,0.24166666666666667,7602.223333333333
xstest_contrast_unsafe,all,0.0,all,600,141,179,155,0,0,0.235,0.5333333333333333,0.25833333333333336,1.0,0.9116666666666666,0.0,0.0,0.24166666666666667,7602.223333333333
xstest_safe,260621,0.0,safe,250,0,1,195,0,0,0.0,0.004,0.78,1.0,0.808,0.0,0.0,0.3,6978.012
xstest_safe,260621,0.0,all,250,0,1,195,0,0,0.0,0.004,0.78,1.0,0.808,0.0,0.0,0.3,6978.012
xstest_safe,260622,0.0,safe,250,0,1,210,0,0,0.0,0.004,0.84,1.0,0.812,0.0,0.0,0.288,6753.848
xstest_safe,260622,0.0,all,250,0,1,210,0,0,0.0,0.004,0.84,1.0,0.812,0.0,0.0,0.288,6753.848
xstest_safe,260623,0.0,safe,250,0,2,198,0,0,0.0,0.008,0.792,1.0,0.82,0.0,0.0,0.356,6920.736
xstest_safe,260623,0.0,all,250,0,2,198,0,0,0.0,0.008,0.792,1.0,0.82,0.0,0.0,0.356,6920.736
xstest_safe,all,0.0,safe,750,0,4,603,0,0,0.0,0.005333333333333333,0.804,1.0,0.8133333333333334,0.0,0.0,0.31466666666666665,6884.198666666666
xstest_safe,all,0.0,all,750,0,4,603,0,0,0.0,0.005333333333333333,0.804,1.0,0.8133333333333334,0.0,0.0,0.31466666666666665,6884.198666666666
all,260621,0.0,safe,550,33,110,346,0,0,0.06,0.26,0.6290909090909091,1.0,0.8127272727272727,0.0,0.0,0.24909090909090909,6222.4345454545455
all,260621,0.0,unsafe,500,184,128,88,0,0,0.368,0.624,0.176,1.0,0.94,0.0,0.0,0.28,7563.29
all,260621,0.0,all,1050,217,238,434,0,0,0.20666666666666667,0.43333333333333335,0.41333333333333333,1.0,0.8733333333333333,0.0,0.0,0.2638095238095238,6860.937142857143
all,260622,0.0,safe,550,29,120,354,0,0,0.05272727272727273,0.27090909090909093,0.6436363636363637,1.0,0.8,0.0,0.0,0.2672727272727273,6154.454545454545
all,260622,0.0,unsafe,500,186,137,85,0,0,0.372,0.646,0.17,1.0,0.916,0.0,0.0,0.232,7479.734
all,260622,0.0,all,1050,215,257,439,0,0,0.20476190476190476,0.44952380952380955,0.4180952380952381,1.0,0.8552380952380952,0.0,0.0,0.25047619047619046,6785.54
all,260623,0.0,safe,550,36,115,342,0,0,0.06545454545454546,0.27454545454545454,0.6218181818181818,1.0,0.8127272727272727,0.0,0.0,0.33090909090909093,6253.634545454545
all,260623,0.0,unsafe,500,176,142,83,0,0,0.352,0.636,0.166,1.0,0.9,0.0,0.0,0.288,7541.04
