source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
harmbench_standard	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.7614915166204986	0.01906596260387805	-0.032053973337950126	0.06352850155817177	0.448		0.756578947368421	0.7269736842105263	0.02960526315789469	-0.02051861981906162	0.07291666666666669	0.276		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.730405010743651	0.006950562033146701	-0.006191085627597767	0.0199381169871853	0.252		0.7409608717186726	0.715948489351164	0.02501238236750869	0.013468041149517879	0.036216058716058736	0.0		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.7323279246700943	0.004112775052241058	-0.006624117565810921	0.015933136561444673	0.46		0.742054352832796	0.7167204053431598	0.025333947489636133	0.013863302400613325	0.03575495816547878	0.0		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.7996234418282548	-0.01906596260387816	-0.05429038261772852	0.01770689058171738	0.304		0.756578947368421	0.7598684210526315	-0.003289473684210509	-0.050274725274725214	0.04078503843879355	1.0		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.7540763686042526	-0.016720795827454893	-0.02800319022284827	-0.006716726021076146	0.0		0.7409608717186726	0.754581475978207	-0.013620604259534375	-0.0248716370847867	-0.002318218954248355	0.02		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.7570153955632652	-0.020574695840929857	-0.030367898649782572	-0.01053151642362439	0.0		0.742054352832796	0.7549516351911562	-0.012897282358360185	-0.023941660253943835	-0.0018307979234040734	0.024		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.8293369113573407	-0.048779432132963985	-0.0885241733033241	-0.009161292416897476	0.012		0.756578947368421	0.8157894736842105	-0.05921052631578949	-0.10568181818181818	-0.007796376977757512	0.036		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.8002706335380994	-0.0629150607613016	-0.07533333038953126	-0.05141786694063652	0.0		0.7409608717186726	0.8197127290737989	-0.07875185735512624	-0.09125375819500647	-0.06695093668168337	0.0		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.801760402237017	-0.06531970251468155	-0.07708945924895419	-0.05331138647482703	0.0		0.742054352832796	0.8194380469829572	-0.07738369415016122	-0.08969423283134736	-0.0651287110632232	0.0		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.7994286703601108	-0.0188711911357341	-0.06370650103878119	0.025291616170360104	0.436		0.756578947368421	0.8223684210526315	-0.06578947368421051	-0.12320075757575757	-0.01499099639855945	0.024		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.8084607815647339	-0.07110520878793614	-0.08330364999567016	-0.058235240328322266	0.0		0.7409608717186726	0.8345715700842001	-0.09361069836552749	-0.10746998073008482	-0.07952240695713793	0.0		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.8076576181867212	-0.07121691846438583	-0.08419027904577761	-0.06036877278288973	0.0		0.742054352832796	0.8337171810225702	-0.09166282818977423	-0.10415204948301325	-0.07856209520453708	0.0		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.8336651662049861	-0.053107686980609414	-0.09639672783933524	-0.007086435249307518	0.028		0.756578947368421	0.8223684210526315	-0.06578947368421051	-0.11751344086021506	-0.0195079002474776	0.004		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.8507049547378164	-0.11334938196101862	-0.12527335042210444	-0.10090833773063766	0.0		0.7409608717186726	0.8749380881624567	-0.13397721644378402	-0.14680713187102754	-0.12016040934433302	0.0		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.8495431275421732	-0.11310242781983781	-0.125695445023923	-0.10124370364256786	0.0		0.742054352832796	0.8712574850299402	-0.1292031321971442	-0.14272996068405447	-0.11646943978530704	0.0		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.7614915166204986	-0.03021121883656508	-0.0823445074445983	0.022092494806094154	0.26		0.7269736842105263	0.7269736842105263	0.0	-0.04901960784313725	0.04642059948979589	1.0		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.730405010743651	0.004762335818638164	-0.00863344168978164	0.017958774995639443	0.376		0.7446755819712729	0.715948489351164	0.028727092620108974	0.01718619918505659	0.04215973410556793	0.0		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.7323279246700943	0.0012121170973433681	-0.011954727649190835	0.014275389270355574	0.884		0.7434362045140488	0.7167204053431598	0.026715799170888954	0.013501793397993692	0.04051690689191588	0.0		2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
harmbench_standard	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.7996234418282548	-0.06834314404432129	-0.10293726194598338	-0.03527744113573411	0.0		0.7269736842105263	0.7598684210526315	-0.0328947368421052	-0.08069784921369103	0.0158776595744681	0.184		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.7540763686042526	-0.01890902204196343	-0.02955346386151763	-0.007147122151350171	0.0		0.7446755819712729	0.754581475978207	-0.00990589400693409	-0.02382162048970616	0.0019700551615444706	0.156		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
