source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
harmbench_standard	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7805574792243767	0.7614915166204986	0.01906596260387805	-0.03074359418282542	0.06629858466066482	0.404		0.756578947368421	0.7269736842105263	0.02960526315789469	-0.02139670555936857	0.0721950171821306	0.304		152	304	152	4	cot_4	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7373555727767978	0.730405010743651	0.006950562033146701	-0.004956991664869692	0.017079602370840004	0.292		0.7409608717186726	0.715948489351164	0.02501238236750869	0.01275480331653604	0.03514679916075553	0.0		2019	4038	2019	4	cot_4	28	0	0	0	0	0	0
pooled	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7364406997223354	0.7323279246700943	0.004112775052241058	-0.00818712643804973	0.015817274143206356	0.46		0.742054352832796	0.7167204053431598	0.025333947489636133	0.013148510477152282	0.035929175544713816	0.0		2171	4342	2171	4	cot_4	28	0		0		0	
harmbench_standard	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.7996234418282548	-0.06834314404432129	-0.10599409193213297	-0.035559318732686994	0.0		0.7269736842105263	0.7598684210526315	-0.0328947368421052	-0.07731958762886604	0.013232323232323115	0.192		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.7540763686042526	-0.01890902204196343	-0.030984856959430217	-0.007654928010546657	0.0		0.7446755819712729	0.754581475978207	-0.00990589400693409	-0.022181116059903933	0.0025690688597713634	0.148		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.7570153955632652	-0.023475353795827547	-0.03498279368697677	-0.012332620483442329	0.0	0.0	0.7434362045140488	0.7549516351911562	-0.011515430677107363	-0.022621620283410644	-0.0001706178160919834	0.052	0.052	2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
harmbench_standard	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7468403739612188	0.8293369113573407	-0.08249653739612184	-0.12151737794321325	-0.044451718317174566	0.0		0.7368421052631579	0.8157894736842105	-0.07894736842105265	-0.12772163120567379	-0.029541262135922355	0.004		152	304	152	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7596000452364253	0.8002706335380994	-0.04067058830167403	-0.051599708048428554	-0.028668011125609336	0.0		0.7734026745913819	0.8197127290737989	-0.046310054482416985	-0.059751990168303806	-0.032248260449683014	0.0		2019	4038	2019	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7589336085296721	0.801760402237017	-0.04282679370734488	-0.054736496606050934	-0.03153044264021292	0.0	0.0	0.7708429295255642	0.8194380469829572	-0.04859511745739298	-0.06179061860001051	-0.035438152094630984	0.0	0.0	2171	4342	2171	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
harmbench_standard	32	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7757314750692521	0.7994286703601108	-0.023697195290858675	-0.062029302285318555	0.015409128289473637	0.228		0.7467105263157895	0.8223684210526315	-0.07565789473684204	-0.12816099211962018	-0.020824742268041298	0.0		152	304	152	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	32	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7662120700301077	0.8084607815647339	-0.04224871153462617	-0.05445019773763907	-0.03094757493264212	0.0		0.778355621594849	0.8345715700842001	-0.056215948489351186	-0.06920357437909844	-0.04169046915525787	0.0		2019	4038	2019	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
pooled	32	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7646497388951679	0.8076576181867212	-0.043007879291553364	-0.05332252000269036	-0.03231509114428902	0.0	0.0	0.7761400276370336	0.8337171810225702	-0.057577153385536595	-0.07187608695652178	-0.04386738427880882	0.0	0.0	2171	4342	2171	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0		0		0	
