source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
harmbench_standard	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.7614915166204986	0.04696156509695293	0.002447628116343507	0.08396706198060938	0.032		0.7861842105263158	0.7269736842105263	0.05921052631578949	0.015540431701030899	0.10106382978723405	0.008		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.730405010743651	0.05722579526199956	0.04715508820244328	0.06784440215182122	0.0		0.7696879643387816	0.715948489351164	0.053739474987617664	0.04457552925006102	0.06434892310799398	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.7323279246700943	0.0558229464608323	0.04566582739987195	0.06655033659428829	0.0		0.7708429295255642	0.7167204053431598	0.054122524182404375	0.04523930358192735	0.06282398011923393	0.0		2171	4342	2171	4							0
harmbench_standard	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.7996234418282548	0.008829639889196716	-0.016296961565096912	0.03511459054709146	0.536		0.7861842105263158	0.7598684210526315	0.026315789473684292	-0.015388964864296245	0.06841577540106952	0.268		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.7540763686042526	0.03355443740139796	0.023288019633197325	0.04269730097506081	0.0		0.7696879643387816	0.754581475978207	0.0151064883605746	0.005928399889765265	0.02440594145459607	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.7570153955632652	0.031135475567661386	0.023212602007832872	0.04007102543663691	0.0		0.7708429295255642	0.7549516351911562	0.015891294334408057	0.007624999472609456	0.025239600151845225	0.0		2171	4342	2171	4							0
harmbench_standard	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.8293369113573407	-0.020883829639889107	-0.05147701696675901	0.00857373182132962	0.188		0.7861842105263158	0.8157894736842105	-0.02960526315789469	-0.07451612903225809	0.015889616935483852	0.224		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.8002706335380994	-0.012639827532448744	-0.023246205377786742	-0.002003116259820983	0.008		0.7696879643387816	0.8197127290737989	-0.05002476473501727	-0.06122651956171692	-0.03885151809993646	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.801760402237017	-0.013609531106090311	-0.02406857086238534	-0.0037309199762966495	0.016		0.7708429295255642	0.8194380469829572	-0.04859511745739298	-0.059696664753711486	-0.03855970846132184	0.0		2171	4342	2171	4							0
harmbench_standard	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.7994286703601108	0.009024411357340778	-0.02764023545706374	0.04623225415512451	0.612		0.7861842105263158	0.8223684210526315	-0.03618421052631571	-0.08333151996518333	0.010876757650951169	0.152		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.8084607815647339	-0.02082997555908328	-0.0324983698695969	-0.00964993348233872	0.0		0.7696879643387816	0.8345715700842001	-0.06488360574541852	-0.0759674834789605	-0.0519544587438962	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.8076576181867212	-0.019506747055794582	-0.03193555400625598	-0.009917376917496914	0.0		0.7708429295255642	0.8337171810225702	-0.06287425149700598	-0.0749393950730439	-0.051083264717990955	0.0		2171	4342	2171	4							0
harmbench_standard	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.8336651662049861	-0.025212084487534536	-0.06747154172437672	0.0182111322714682	0.26		0.7861842105263158	0.8223684210526315	-0.03618421052631571	-0.0851893802102211	0.010698352779684308	0.192		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.8507049547378164	-0.06307414873216577	-0.0747475597720614	-0.05190115031519534	0.0		0.7696879643387816	0.8749380881624567	-0.10525012382367505	-0.11884204450331612	-0.09268126894825952	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.8495431275421732	-0.06139225641124657	-0.07364117122379275	-0.050158370323096155	0.0		0.7708429295255642	0.8712574850299402	-0.10041455550437595	-0.11357294206163078	-0.08797910308004436	0.0		2171	4342	2171	4							0
harmbench_standard	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.7614915166204986	0.04025277008310246	-0.002641858552631534	0.08427599117036008	0.068		0.7730263157894737	0.7269736842105263	0.046052631578947345	-0.005077561327561317	0.09441505992704534	0.096		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.730405010743651	0.05312679617923921	0.041089672259154636	0.06593970394182454	0.0		0.7654779593858345	0.715948489351164	0.049529470034670564	0.03731539162224284	0.06218920309045939	0.0		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.7323279246700943	0.052070114810594204	0.040850088612061214	0.06391262137879222	0.0		0.7660064486411792	0.7167204053431598	0.04928604329801933	0.03799826480076549	0.06359193482581799	0.0		2171	4342	2171	4,8							0
harmbench_standard	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.7996234418282548	0.0021208448753462505	-0.028220221606648166	0.028575138504155106	0.964		0.7730263157894737	0.7598684210526315	0.013157894736842146	-0.03157894736842104	0.05407024310425424	0.72		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.7540763686042526	0.029455438318637617	0.01914260353781221	0.04011596985644792	0.0		0.7654779593858345	0.754581475978207	0.0108964834076275	-0.000390097590567412	0.021966438011083955	0.076		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.7570153955632652	0.02738264391742329	0.018533271479222062	0.03659474446564475	0.0	0.0	0.7660064486411792	0.7549516351911562	0.011054813450023016	0.0012605170454665392	0.022584945111660516	0.036	0.036	2171	4342	2171	4,8							0
harmbench_standard	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.8293369113573407	-0.027592624653739573	-0.05841304536011083	0.0019120065789473022	0.06		0.7730263157894737	0.8157894736842105	-0.042763157894736836	-0.0873095024652622	0.0	0.072		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.8002706335380994	-0.01673882661520909	-0.027396570740422663	-0.005383502589687297	0.0		0.7654779593858345	0.8197127290737989	-0.05423476968796437	-0.06639371660867395	-0.04184388505074014	0.0		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.801760402237017	-0.01736236275632841	-0.02762059323934423	-0.006857316971485262	0.0		0.7660064486411792	0.8194380469829572	-0.05343159834177802	-0.06530682901788396	-0.04175545208149472	0.0		2171	4342	2171	4,8							0
harmbench_standard	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.7994286703601108	0.002315616343490312	-0.03791605349722997	0.03754382358033234	0.928		0.7730263157894737	0.8223684210526315	-0.049342105263157854	-0.09090909090909094	0.0	0.064		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.8084607815647339	-0.024928974641843626	-0.03640123507216364	-0.012896545472788078	0.0		0.7654779593858345	0.8345715700842001	-0.06909361069836562	-0.08237670146124569	-0.056656848699965796	0.0		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.8076576181867212	-0.02325957870603268	-0.034296509026379055	-0.013247354633467686	0.0		0.7660064486411792	0.8337171810225702	-0.06771073238139103	-0.08133376638239431	-0.05399841901711272	0.0		2171	4342	2171	4,8							0
harmbench_standard	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.8336651662049861	-0.031920879501385	-0.07033197714681441	0.004581457756232648	0.112		0.7730263157894737	0.8223684210526315	-0.049342105263157854	-0.09473611111111109	-0.0023514851485149663	0.052		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.8507049547378164	-0.06717314781492612	-0.07946292661518445	-0.053296368378561186	0.0		0.7654779593858345	0.8749380881624567	-0.10946012877662215	-0.12335106891892965	-0.0955858229703771	0.0		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.8495431275421732	-0.06514508806148467	-0.0760408389895615	-0.05318575370960243	0.0		0.7660064486411792	0.8712574850299402	-0.10525103638876099	-0.118580063109368	-0.0917506447429228	0.0		2171	4342	2171	4,8							0
