source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
harmbench_standard	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8084530817174516	0.7614915166204986	0.04696156509695293	0.0013049688365650994	0.08895267053324099	0.044		0.7861842105263158	0.7269736842105263	0.05921052631578949	0.015457589285714324	0.10055851063829783	0.012		152	304	152	4	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7876308060056506	0.730405010743651	0.05722579526199956	0.045462021764019464	0.06738258093431858	0.0		0.7696879643387816	0.715948489351164	0.053739474987617664	0.042719116663682506	0.063461216266142	0.0		2019	4038	2019	4	0	2019	2019	0	0	4038	0
pooled	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7881508711309266	0.7323279246700943	0.0558229464608323	0.045247428998432315	0.06675580561231649	0.0		0.7708429295255642	0.7167204053431598	0.054122524182404375	0.04386067371266169	0.06284785150815558	0.0		2171	4342	2171	4							0
harmbench_standard	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8017442867036011	0.7996234418282548	0.0021208448753462505	-0.028670360110803334	0.029778393351800547	0.88		0.7730263157894737	0.7598684210526315	0.013157894736842146	-0.031096971649484537	0.054347826086956486	0.716		152	304	152	4,8	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7835318069228903	0.7540763686042526	0.029455438318637617	0.019594655012154235	0.039298249100116485	0.0		0.7654779593858345	0.754581475978207	0.0108964834076275	0.0	0.02367134795726364	0.068		2019	4038	2019	4,8	0	2019	2019	0	0	4038	0
pooled	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7843980394806885	0.7570153955632652	0.02738264391742329	0.018312428220835723	0.03656134918626058	0.0	0.0	0.7660064486411792	0.7549516351911562	0.011054813450023016	0.0018206400653539318	0.022454159838197794	0.028	0.028	2171	4342	2171	4,8							0
harmbench_standard	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.8293369113573407	-0.03921398891966754	-0.07362577908587259	-0.0013839594875346651	0.044		0.7697368421052632	0.8157894736842105	-0.046052631578947345	-0.09677419354838712	0.009900990099009858	0.136		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.8002706335380994	-0.0013071707829606094	-0.01123395658529753	0.008512911393274534	0.876		0.7912332838038633	0.8197127290737989	-0.02847944526993562	-0.04096241782158123	-0.015461129119958538	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.801760402237017	-0.0034898491292933986	-0.012073045914690122	0.006077028524533302	0.488	0.488	0.7897282358360203	0.8194380469829572	-0.029709811146936937	-0.04102179438515019	-0.018753153395480712	0.0	0.0	2171	4342	2171	4,8,16							0
harmbench_standard	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8023718836565097	0.7994286703601108	0.0029432132963989055	-0.03036378981994459	0.036871320983379474	0.912		0.7763157894736842	0.8223684210526315	-0.046052631578947345	-0.09999999999999998	0.010365657216494807	0.18		152	304	152	4,8,16,32	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8146676655968399	0.8084607815647339	0.006206884032106008	-0.0034175242330107347	0.015243086910114178	0.236		0.8095591877166914	0.8345715700842001	-0.02501238236750869	-0.03777766318854646	-0.013171800376135146	0.0		2019	4038	2019	4,8,16,32	0	2019	2019	0	0	4038	0
pooled	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8137620164129099	0.8076576181867212	0.00610439822618869	-0.0034572733496970845	0.014943533547297902	0.22	0.44	0.8072316904652234	0.8337171810225702	-0.026485490557346836	-0.040418396816839	-0.01475757203849991	0.0	0.0	2171	4342	2171	4,8,16,32							0
harmbench_standard	64	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8137551939058172	0.8336651662049861	-0.01990997229916891	-0.05203644390581714	0.01171983206371191	0.212		0.8026315789473685	0.8223684210526315	-0.019736842105263053	-0.07409574468085109	0.032258064516129115	0.544		152	304	152	4,8,16,32,64	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	64	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8299667276769648	0.8507049547378164	-0.0207382270608516	-0.029545052560359605	-0.01085336590650338	0.0		0.8345715700842001	0.8749380881624567	-0.04036651807825653	-0.05315679650238478	-0.027905669123441328	0.0		2019	4038	2019	4,8,16,32,64	0	2019	2019	0	0	4038	0
pooled	64	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8289374551396799	0.8495431275421732	-0.020605672402493336	-0.029830065447533815	-0.011959451044408688	0.0	0.0	0.8323353293413174	0.8712574850299402	-0.038922155688622784	-0.049876271505221864	-0.027452144903174876	0.0	0.0	2171	4342	2171	4,8,16,32,64							0
