source	k	comparison	kind	selected_layer	selected_surface_family	n_train_pairs	n_val_pairs	n_test_pairs	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	hidden_n_rank_pairs	surface_n_rank_pairs	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	val_pairs_dropped_post_alignment	test_pairs_dropped_post_alignment	val_rows_dropped_post_alignment	test_rows_dropped_post_alignment	alignment_left_dropped	alignment_right_dropped	hidden_accuracy_at_0p5	hidden_balanced_accuracy_at_0p5	hidden_test_aligned_rows	hidden_val_aligned_rows	n_shared_groups	surface_accuracy_at_0p5	surface_balanced_accuracy_at_0p5
harmbench_standard	4	hidden_minus_matched_surface	linear	28	char_tfidf	1180	132	152	0.8084530817174516	0.7614915166204985	0.04696156509695304	0.006913846087257616	0.08877413002077553	0.024	0.096	0.7861842105263158	0.7269736842105263	152	152	0.05921052631578949	0.015306122448979605	0.10500457875457869	0.012	0.06	0	0	0	0	0	0	0.7467105263157895	0.7467105263157895	304	264	152	0.6875	0.6875
wildjailbreak_vanilla_harmful	4	hidden_minus_matched_surface	linear	28	char_tfidf	550	62	2019	0.7876308060056506	0.730405010743651	0.05722579526199956	0.04664098996629605	0.06758309678657023	0.0	0.0	0.7696879643387816	0.715948489351164	2019	2019	0.053739474987617664	0.04394418289998285	0.0631691273047185	0.0	0.0	0	0	0	0	0	0	0.7303120356612184	0.7303120356612185	4038	124	2019	0.6775631500742942	0.6775631500742942
pooled	4	hidden_minus_matched_surface	linear	28	char_tfidf				0.7894603734457882	0.7310230900562904	0.05843728338949783	0.04850825578407733	0.0692045187165265	0.0	0.0	0.7708429295255642	0.7167204053431598	2171	2171	0.054122524182404375	0.043869282097477036	0.06347102084906964	0.0	0.0											2171		
harmbench_standard	8	hidden_minus_matched_surface	linear	28	char_tfidf	1180	132	152	0.7703644390581716	0.7996234418282547	-0.029259002770083087	-0.0645797264542936	0.006488054016620511	0.112	0.336	0.7467105263157895	0.7598684210526315	152	152	-0.013157894736842035	-0.05319148936170209	0.021396705559368567	0.684	0.684	0	0	0	0	0	0	0.7203947368421053	0.7203947368421053	304	264	152	0.756578947368421	0.756578947368421
wildjailbreak_vanilla_harmful	8	hidden_minus_matched_surface	linear	28	char_tfidf	550	62	2019	0.750290761784837	0.7540763686042529	-0.0037856068194158654	-0.015727136899798662	0.008987645475952717	0.616	0.856	0.7392273402674592	0.754581475978207	2019	2019	-0.01535413571074784	-0.028423643461595798	-0.0015697393584510834	0.028	0.084	0	0	0	0	0	0	0.6983655274888558	0.6983655274888558	4038	124	2019	0.7436849925705795	0.7436849925705795
pooled	8	hidden_minus_matched_surface	linear	28	char_tfidf				0.7521161128828338	0.7567156018544351	-0.00459948897160134	-0.014905868382287185	0.006416847769931502	0.428	0.856	0.7397512666973745	0.7549516351911562	2171	2171	-0.015200368493781702	-0.027005099351499817	-0.0025307815525856384	0.028	0.084											2171		
harmbench_standard	16	hidden_minus_matched_surface	linear	28	char_tfidf	1180	132	152	0.6898372576177285	0.8293369113573408	-0.13949965373961226	-0.19809664993074788	-0.08785383483379516	0.0	0.0	0.7302631578947368	0.8157894736842105	152	152	-0.08552631578947367	-0.14444444444444443	-0.030134875732471256	0.012	0.06	0	0	0	0	0	0	0.6381578947368421	0.638157894736842	304	264	152	0.7664473684210527	0.7664473684210527
wildjailbreak_vanilla_harmful	16	hidden_minus_matched_surface	linear	28	char_tfidf	550	62	2019	0.6372417702946329	0.8002706335380994	-0.16302886324346644	-0.18104144848800197	-0.14638908943540577	0.0	0.0	0.6545319465081724	0.8197127290737989	2019	2019	-0.16518078256562652	-0.1827450963845809	-0.14954109748164668	0.0	0.0	0	0	0	0	0	0	0.5941059930658742	0.5941059930658742	4038	124	2019	0.7835562159484893	0.7835562159484893
pooled	16	hidden_minus_matched_surface	linear	28	char_tfidf				0.6414205214628321	0.7994172163061468	-0.1579966948433147	-0.17371828907115083	-0.14238225617998324	0.0	0.0	0.6598341777982496	0.8194380469829572	2171	2171	-0.1596038691847076	-0.17567745371426202	-0.14444211779227656	0.0	0.0											2171		
harmbench_standard	32	hidden_minus_matched_surface	linear	28	char_tfidf	1180	132	152	0.7399151662049861	0.7994286703601108	-0.059513504155124686	-0.09854029605263165	-0.01889283240997213	0.008	0.04	0.743421052631579	0.8223684210526315	152	152	-0.07894736842105254	-0.12821255529808304	-0.03157894736842104	0.004	0.024	0	0	0	0	0	0	0.6776315789473685	0.6776315789473684	304	264	152	0.7664473684210527	0.7664473684210527
