source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
strongreject_full	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.657678322407434	0.03386594377614727	-0.0031943593686872013	0.06818249944610251	0.076		0.6732851985559567	0.6498194945848376	0.023465703971119134	-0.014247159090909104	0.05604990583804144	0.224		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.6747828024058811	0.04317665404321669	0.014351971485854318	0.06959122298952994	0.004		0.6835820895522388	0.6791044776119403	0.004477611940298498	-0.02502211686779782	0.028919314381270912	0.86		335	670	335	4	0	335	335	0	0	670	0
pooled	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.6645374108248964	0.043901384083045	0.02392302373018926	0.06420317105600408	0.0		0.678921568627451	0.6658496732026143	0.013071895424836666	-0.008919031638256709	0.03348329048843187	0.24		612	1224	612	4							0
strongreject_full	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.7177208096026274	-0.026176543419046183	-0.050351724901927616	-0.0026986211210885424	0.04		0.6732851985559567	0.6895306859205776	-0.016245487364620947	-0.04506114888866329	0.014455526597166547	0.436		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.7034617955001113	0.014497660948986413	-0.0067773446201826425	0.03964056582757849	0.212		0.6835820895522388	0.6895522388059702	-0.005970149253731405	-0.03504672897196259	0.023319314032342192	0.816		335	670	335	4	0	335	335	0	0	670	0
pooled	4	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.7068862403349139	0.001552554573027498	-0.013827948118245184	0.017245804231278573	0.848		0.678921568627451	0.6895424836601307	-0.0106209150326797	-0.0341841774425287	0.011453591893554382	0.356		612	1224	612	4							0
strongreject_full	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.7436757940283335	-0.05213152784475228	-0.07839050424220305	-0.02507054047361492	0.0		0.6732851985559567	0.7021660649819494	-0.028880866425992746	-0.06917689212556527	0.009978776346604162	0.172		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.740815326353308	-0.02285586990421029	-0.050053798173312535	0.004035085765203854	0.108		0.6835820895522388	0.7104477611940299	-0.0268656716417911	-0.06018518518518512	0.009547732968785552	0.184		335	670	335	4	0	335	335	0	0	670	0
pooled	4	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.7366490986372762	-0.028210303729334862	-0.044239094739202914	-0.009979601862531537	0.0		0.678921568627451	0.7066993464052288	-0.02777777777777779	-0.052635043833629866	-0.001299616331943927	0.048		612	1224	612	4							0
strongreject_full	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.7531572156550979	-0.06161294947151663	-0.09056142397268312	-0.034319813890445555	0.0		0.6732851985559567	0.7148014440433214	-0.041516245487364656	-0.07972058823529407	-0.0028804890219560723	0.044		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.7628202272220984	-0.04486077077300066	-0.07216818890621515	-0.016553798173312526	0.0		0.6835820895522388	0.7686567164179104	-0.08507462686567169	-0.12010688684075782	-0.04842569199123558	0.0		335	670	335	4	0	335	335	0	0	670	0
pooled	4	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.748527542825409	-0.04008874791746764	-0.05798227311076934	-0.020055153733606744	0.0		0.678921568627451	0.744281045751634	-0.065359477124183	-0.0959463801343322	-0.03698132240010414	0.0		612	1224	612	4							0
strongreject_full	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.7970454456593986	-0.10550117947581739	-0.1415102177794576	-0.07089252433890704	0.0		0.6732851985559567	0.8032490974729242	-0.12996389891696747	-0.16907881526104415	-0.09180316091954024	0.0		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.7806861216306527	-0.0627266651815549	-0.09334606816662958	-0.03290142570728446	0.0		0.6835820895522388	0.7985074626865671	-0.11492537313432838	-0.15136229231202478	-0.07978177008707159	0.0		335	670	335	4	0	335	335	0	0	670	0
pooled	4	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.7835848391644239	-0.07514604425648252	-0.09742807253620406	-0.054318284367123826	0.0		0.678921568627451	0.8006535947712419	-0.12173202614379086	-0.14917083639368342	-0.09700070194714032	0.0		612	1224	612	4							0
strongreject_full	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.657678322407434	0.060439990095009666	0.022815037339206836	0.0936976241056185	0.008		0.6841155234657039	0.6498194945848376	0.03429602888086636	0.0	0.06676841085271316	0.056		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.6747828024058811	0.052149699264869676	0.02634718200044554	0.0819992203163288	0.0		0.7074626865671642	0.6791044776119403	0.028358208955223896	-0.001238207547169764	0.060159119748881315	0.064		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.6645374108248964	0.05962717330941092	0.03640950729420315	0.08020139155880215	0.0		0.6968954248366013	0.6658496732026143	0.03104575163398693	0.006465012185976837	0.05405762197545915	0.008		612	1224	612	4,8							0
strongreject_full	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.7177208096026274	0.00039750289981621556	-0.020703058817396276	0.02003479779483635	0.984		0.6841155234657039	0.6895306859205776	-0.005415162454873723	-0.039487702110167125	0.025940552122782543	0.74		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.7034617955001113	0.0234707061706394	0.0037526175094676015	0.04456861216306524	0.02		0.7074626865671642	0.6895522388059702	0.017910447761193993	-0.007321339330334814	0.04354191603493367	0.204		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.7068862403349139	0.017278343799393414	0.0041700708061002565	0.03238447952710494	0.012	0.012	0.6968954248366013	0.6895424836601307	0.007352941176470562	-0.012448071979434459	0.029847390274431677	0.488	0.488	612	1224	612	4,8							0
strongreject_full	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.7436757940283335	-0.02555748152588988	-0.0507150164865957	-0.0025850721370016335	0.04		0.6841155234657039	0.7021660649819494	-0.018050541516245522	-0.05409880239520956	0.013812154696132506	0.32		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.740815326353308	-0.013882824682557304	-0.03864101136110497	0.00874448652261084	0.252		0.7074626865671642	0.7104477611940299	-0.0029850746268657025	-0.03342656306963179	0.03167999289267944	0.964		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.7366490986372762	-0.012484514502968946	-0.027661903541372955	0.0021314918941433224	0.116		0.6968954248366013	0.7066993464052288	-0.009803921568627527	-0.03528583122346806	0.016085803509467617	0.408		612	1224	612	4,8							0
strongreject_full	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.7531572156550979	-0.03503890315265423	-0.059474905185783696	-0.009977159874363076	0.012		0.6841155234657039	0.7148014440433214	-0.03068592057761743	-0.06921695402298846	0.005666570364663528	0.152		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.7628202272220984	-0.03588772555134767	-0.0627161951436845	-0.009520494542214286	0.012		0.7074626865671642	0.7686567164179104	-0.06119402985074629	-0.0957466015293118	-0.0284215492451474	0.0		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.748527542825409	-0.02436295869110172	-0.042717010551497306	-0.005320536438976484	0.016		0.6968954248366013	0.744281045751634	-0.04738562091503273	-0.07382726328993475	-0.020933739068454082	0.0		612	1224	612	4,8							0
strongreject_full	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.7970454456593986	-0.07892713315695499	-0.10990222080308615	-0.0454902970193799	0.0		0.6841155234657039	0.8032490974729242	-0.11913357400722024	-0.15761383796570078	-0.07590904611746155	0.0		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.7806861216306527	-0.05375361995990191	-0.08159690354199152	-0.025664067721095973	0.0		0.7074626865671642	0.7985074626865671	-0.09104477611940298	-0.125	-0.058375959079283876	0.0		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.7835848391644239	-0.05942025503011661	-0.07903257027211756	-0.03758240019864155	0.0		0.6968954248366013	0.8006535947712419	-0.1037581699346406	-0.13082901554404147	-0.0776538499571495	0.0		612	1224	612	4,8							0
strongreject_full	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.657678322407434	0.06491678504867782	0.027106439546977036	0.10283562929270548	0.004		0.6967509025270758	0.6498194945848376	0.04693140794223827	0.005864293085655276	0.08640916971681764	0.02		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.6747828024058811	0.060227222098462874	0.029713967476052597	0.089530853196703	0.0		0.7298507462686568	0.6791044776119403	0.0507462686567165	0.014245327735644603	0.08353682170542635	0.0		335	670	335	4,8,16	0	335	335	0	0	670	0
pooled	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.6645374108248964	0.064902921953095	0.04043894041821523	0.08713315391516079	0.0		0.7148692810457516	0.6658496732026143	0.0490196078431373	0.02482954545454539	0.07717361298141663	0.0		612	1224	612	4,8,16							0
strongreject_full	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.7177208096026274	0.004874297853484366	-0.0197607814516024	0.03171502951947757	0.612		0.6967509025270758	0.6895306859205776	0.0072202166064981865	-0.030535116208261392	0.04571253071253078	0.828		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.7034617955001113	0.0315482290042326	0.006352973936288711	0.05360403207841386	0.008		0.7298507462686568	0.6895522388059702	0.040298507462686595	0.004876133361890492	0.07524764150943397	0.016		335	670	335	4,8,16	0	335	335	0	0	670	0
pooled	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.7068862403349139	0.02255409244307749	0.006903528023409839	0.03760399312230337	0.0		0.7148692810457516	0.6895424836601307	0.025326797385620936	-0.0012907925407925679	0.05099923103212573	0.068		612	1224	612	4,8,16							0
strongreject_full	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.7436757940283335	-0.02108068657222173	-0.04748432795944173	0.0015535195297735674	0.072		0.6967509025270758	0.7021660649819494	-0.005415162454873612	-0.04505221484741359	0.036845505617977475	0.792		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.740815326353308	-0.005805301848964106	-0.030160057919358396	0.01609033192247718	0.588		0.7298507462686568	0.7104477611940299	0.0194029850746269	-0.014634146341463428	0.05753747382343214	0.376		335	670	335	4,8,16	0	335	335	0	0	670	0
