source	k	split	n_pairs	auroc	model	n	val_z_mean	val_z_std
strongreject_full	4	val	104	0.8416697485207101	hidden_single_position	208	0.518117256480484	0.2879677605866991
strongreject_full	4	test	277	0.6915442661835812	hidden_single_position	554	0.518117256480484	0.2879677605866991
strongreject_full	8	val	104	0.7879068047337278	hidden_single_position	208	0.5290674570446404	0.2563304866078904
strongreject_full	8	test	277	0.7073010204746576	hidden_single_position	554	0.5290674570446404	0.2563304866078904
strongreject_full	16	val	104	0.7248520710059172	hidden_single_position	208	0.5322995071048633	0.18603580793947908
strongreject_full	16	test	277	0.632941912445099	hidden_single_position	554	0.5322995071048633	0.18603580793947908
strongreject_full	32	val	104	0.7400610207100592	hidden_single_position	208	0.49758375658152193	0.2353243303300761
strongreject_full	32	test	277	0.6828252681515463	hidden_single_position	554	0.49758375658152193	0.2353243303300761
strongreject_full	64	val	104	0.7770894970414202	hidden_single_position	208	0.4767430913276397	0.22416532107435272
strongreject_full	64	test	277	0.7068839682518996	hidden_single_position	554	0.4767430913276397	0.22416532107435272
reasoningshield	4	val	98	0.8076322365680966	hidden_single_position	196	0.5216506038203227	0.2764608840899338
reasoningshield	4	test	335	0.7179594564490978	hidden_single_position	670	0.5216506038203227	0.2764608840899338
reasoningshield	8	val	98	0.8130987088713036	hidden_single_position	196	0.5281864317057996	0.24751779099546414
reasoningshield	8	test	335	0.6880908888393852	hidden_single_position	670	0.5281864317057996	0.24751779099546414
reasoningshield	16	val	98	0.670085381091212	hidden_single_position	196	0.524663312512697	0.19682663187244012
reasoningshield	16	test	335	0.6242236578302517	hidden_single_position	670	0.524663312512697	0.19682663187244012
reasoningshield	32	val	98	0.7405768429820908	hidden_single_position	196	0.4846828543790141	0.23153563202676927
reasoningshield	32	test	335	0.6704522165292939	hidden_single_position	670	0.4846828543790141	0.23153563202676927
reasoningshield	64	val	98	0.7088713036234903	hidden_single_position	196	0.5083067913976859	0.2469162558461063
reasoningshield	64	test	335	0.6503141011361105	hidden_single_position	670	0.5083067913976859	0.2469162558461063
