source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
strongreject_full	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.6915442661835812	0.657678322407434	0.03386594377614727	-0.0021818673513273753	0.06450103611411587	0.056		0.6732851985559567	0.6498194945848376	0.023465703971119134	-0.011049723756906049	0.06029549231408388	0.228		277	554	277	4	0	277	277	0	0	554	0
reasoningshield	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7179594564490978	0.6747828024058811	0.04317665404321669	0.017002227667631993	0.07032646469146807	0.0		0.6835820895522388	0.6791044776119403	0.004477611940298498	-0.021393384344528768	0.030401096381068825	0.84		335	670	335	4	0	335	335	0	0	670	0
pooled	4	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7084387949079414	0.6645374108248964	0.043901384083045	0.024240176054081727	0.06741674542910842	0.0		0.678921568627451	0.6658496732026143	0.013071895424836666	-0.006588060686015776	0.03248215442327411	0.26		612	1224	612	4							0
strongreject_full	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7181183125024436	0.7177208096026274	0.00039750289981621556	-0.022769585163367207	0.023127989417299835	0.988		0.6841155234657039	0.6895306859205776	-0.005415162454873723	-0.03846153846153849	0.026162790697674413	0.88		277	554	277	4,8	0	277	277	0	0	554	0
reasoningshield	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7269325016707507	0.7034617955001113	0.0234707061706394	0.0017216529293829553	0.04406359991089327	0.028		0.7074626865671642	0.6895522388059702	0.017910447761193993	-0.00944622507122502	0.04057786511733886	0.272		335	670	335	4,8	0	335	335	0	0	670	0
pooled	8	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7241645841343073	0.7068862403349139	0.017278343799393414	0.002011679535648698	0.032758968238711605	0.024	0.024	0.6968954248366013	0.6895424836601307	0.007352941176470562	-0.011969761273209579	0.02858429589248121	0.508	0.508	612	1224	612	4,8							0
strongreject_full	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.7436757940283335	-0.02108068657222173	-0.04799847515281052	0.0017973973334723065	0.068		0.6967509025270758	0.7021660649819494	-0.005415162454873612	-0.04716324797491509	0.033064276272306625	0.764		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.740815326353308	-0.005805301848964106	-0.028376809979950915	0.015987747828024056	0.648		0.7298507462686568	0.7104477611940299	0.0194029850746269	-0.013643689561120808	0.05870051578204903	0.316		335	670	335	4,8,16	0	335	335	0	0	670	0
pooled	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.7366490986372762	-0.007208765859284871	-0.021987737088299406	0.006115102631466525	0.32		0.7148692810457516	0.7066993464052288	0.008169934640522847	-0.020756621447028424	0.03512343236332642	0.62		612	1224	612	4,8,16							0
strongreject_full	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.7531572156550979	-0.01958190514668512	-0.04389262860196276	0.005286299834482395	0.112		0.6877256317689531	0.7148014440433214	-0.027075812274368283	-0.06968244990303817	0.014209039548022585	0.248		277	554	277	4,8,16,32	0	277	277	0	0	554	0
