source	pool_ks	pool_positions	layer	k	test_pairs	test_rows	train_pairs	train_rows	val_alignment	val_pairs	val_rows
strongreject_full	[4]	['cot_4']	28	4	277	554	931	1862	{'left_rows': 208, 'right_rows': 208, 'shared_ids': 208, 'aligned_rows': 208, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 104, 'pairs_after': 104, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 208}	104	208
strongreject_full	[4, 8]	['cot_4', 'cot_8']	28	8	277	554	931	1862	{'left_rows': 208, 'right_rows': 208, 'shared_ids': 208, 'aligned_rows': 208, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 104, 'pairs_after': 104, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 208}	104	208
strongreject_full	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	16	277	554	931	1862	{'left_rows': 208, 'right_rows': 208, 'shared_ids': 208, 'aligned_rows': 208, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 104, 'pairs_after': 104, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 208}	104	208
strongreject_full	[4, 8, 16, 32]	['cot_4', 'cot_8', 'cot_16', 'cot_32']	28	32	277	554	931	1862	{'left_rows': 208, 'right_rows': 208, 'shared_ids': 208, 'aligned_rows': 208, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 104, 'pairs_after': 104, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 208}	104	208
strongreject_full	[4, 8, 16, 32, 64]	['cot_4', 'cot_8', 'cot_16', 'cot_32', 'cot_64']	28	64	277	554	931	1862	{'left_rows': 208, 'right_rows': 208, 'shared_ids': 208, 'aligned_rows': 208, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 104, 'pairs_after': 104, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 208}	104	208
reasoningshield	[4]	['cot_4']	28	4	335	670	879	1758	{'left_rows': 196, 'right_rows': 196, 'shared_ids': 196, 'aligned_rows': 196, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 98, 'pairs_after': 98, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 196}	98	196
reasoningshield	[4, 8]	['cot_4', 'cot_8']	28	8	335	670	879	1758	{'left_rows': 196, 'right_rows': 196, 'shared_ids': 196, 'aligned_rows': 196, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 98, 'pairs_after': 98, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 196}	98	196
reasoningshield	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	16	335	670	879	1758	{'left_rows': 196, 'right_rows': 196, 'shared_ids': 196, 'aligned_rows': 196, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 98, 'pairs_after': 98, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 196}	98	196
reasoningshield	[4, 8, 16, 32]	['cot_4', 'cot_8', 'cot_16', 'cot_32']	28	32	335	670	879	1758	{'left_rows': 196, 'right_rows': 196, 'shared_ids': 196, 'aligned_rows': 196, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 98, 'pairs_after': 98, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 196}	98	196
reasoningshield	[4, 8, 16, 32, 64]	['cot_4', 'cot_8', 'cot_16', 'cot_32', 'cot_64']	28	64	335	670	879	1758	{'left_rows': 196, 'right_rows': 196, 'shared_ids': 196, 'aligned_rows': 196, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 98, 'pairs_after': 98, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 196}	98	196
