source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
strongreject_full	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.657678322407434	0.01708610825111756	-0.02129067888282137	0.05706414784501293	0.428		0.6498194945848376	0.6498194945848376	0.0	-0.03868589743589746	0.03582223865877708	1.0		277	554	277	4	cot_4	28	0	0	0	0	0	0
reasoningshield	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.6747828024058811	-0.04705725105814218	-0.0835224994430831	-0.010817442637558518	0.012		0.6298507462686567	0.6791044776119403	-0.04925373134328359	-0.08437224183583407	-0.014143763213530626	0.016		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.6645374108248964	-0.02300130291768121	-0.04700469103763511	0.0026368063565295388	0.088		0.6388888888888888	0.6658496732026143	-0.026960784313725505	-0.053014367178630624	-0.0012998071979433985	0.04		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.7177208096026274	-0.04295637894407589	-0.07029985403172204	-0.012612897339988851	0.004		0.6498194945848376	0.6895306859205776	-0.03971119133574008	-0.07428571428571429	-0.002906229929351371	0.044		277	554	277	4	cot_4	28	0	0	0	0	0	0
reasoningshield	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.7034617955001113	-0.07573624415237246	-0.11131877923813766	-0.03664234796168415	0.0		0.6298507462686567	0.6895522388059702	-0.059701492537313494	-0.0997850678733032	-0.018772181196957973	0.012		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.7068862403349139	-0.06535013242769871	-0.08764677848263493	-0.04657860625186892	0.0		0.6388888888888888	0.6895424836601307	-0.05065359477124187	-0.0808831783051041	-0.025657484407484454	0.0		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.7436757940283335	-0.06891136336978199	-0.10007624235947293	-0.04091624418407644	0.0		0.6498194945848376	0.7021660649819494	-0.05234657039711188	-0.09302750431340708	-0.011327447833065784	0.008		277	554	277	4	cot_4	28	0	0	0	0	0	0
reasoningshield	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.740815326353308	-0.11308977500556916	-0.15368367119625745	-0.07197159723769211	0.0		0.6298507462686567	0.7104477611940299	-0.08059701492537319	-0.12239094287949924	-0.035439311594202896	0.0		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.7366490986372762	-0.09511299073006108	-0.11726242444145414	-0.07040341054722543	0.0		0.6388888888888888	0.7066993464052288	-0.06781045751633996	-0.09466927453769558	-0.037320697400153695	0.0		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.7531572156550979	-0.07839278499654634	-0.11106035527636231	-0.04828813095439792	0.0		0.6498194945848376	0.7148014440433214	-0.06498194945848379	-0.10852355072463768	-0.026011560693641633	0.0		277	554	277	4	cot_4	28	0	0	0	0	0	0
