source	split	n_rows	pool_ks	pool_positions	layer	feature_dtype	feature_shape	input_dim	invalid_rows_due_to_pool_positions	layer_index	manifest_path	metadata_path	n_input_rows	npz_path	pairs_after_pair_complete	pairs_before_pair_complete	pairs_dropped_pair_complete	pool_position_indices	rows_after_pair_complete	target_k	valid_mask_present	valid_rows_before_pair_complete
strongreject_full	train	1862	[4]	['cot_4']	28	float16	[1862, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.metadata.jsonl	1862	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.npz	931	931	0	[0]	1862	4	True	1862
strongreject_full	val	208	[4]	['cot_4']	28	float16	[208, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.metadata.jsonl	208	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.npz	104	104	0	[0]	208	4	True	208
strongreject_full	test	554	[4]	['cot_4']	28	float16	[554, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.metadata.jsonl	554	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.npz	277	277	0	[0]	554	4	True	554
strongreject_full	train	1862	[4, 8]	['cot_4', 'cot_8']	28	float16	[1862, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.metadata.jsonl	1862	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.npz	931	931	0	[0, 1]	1862	8	True	1862
strongreject_full	val	208	[4, 8]	['cot_4', 'cot_8']	28	float16	[208, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.metadata.jsonl	208	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.npz	104	104	0	[0, 1]	208	8	True	208
strongreject_full	test	554	[4, 8]	['cot_4', 'cot_8']	28	float16	[554, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.metadata.jsonl	554	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.npz	277	277	0	[0, 1]	554	8	True	554
strongreject_full	train	1862	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	float16	[1862, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.metadata.jsonl	1862	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.npz	931	931	0	[0, 1, 2]	1862	16	True	1862
strongreject_full	val	208	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	float16	[208, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.metadata.jsonl	208	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_val_dense_cot_layers_28.npz	104	104	0	[0, 1, 2]	208	16	True	208
strongreject_full	test	554	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	float16	[554, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.metadata.jsonl	554	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_test_dense_cot_layers_28.npz	277	277	0	[0, 1, 2]	554	16	True	554
strongreject_full	train	1862	[4, 8, 16, 32]	['cot_4', 'cot_8', 'cot_16', 'cot_32']	28	float16	[1862, 1, 5, 4096]	4096	0	0	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.manifest.json	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.metadata.jsonl	1862	/workspace/stage1-results/stage1_post_hb_260705_retune12288_b20/hidden_archives_excluded_leadtime_cotonly/stage1_natural_pairs_8b_a100_1x_loso_strongreject_full/natural_pairs_8b_a100_1x_loso_strongreject_full_train_dense_cot_layers_28.npz	931	931	0	[0, 1, 2, 3]	1862	32	True	1862
