source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
strongreject_full	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.657678322407434	0.01708610825111756	-0.024430788880345097	0.057392576470434845	0.448		0.6498194945848376	0.6498194945848376	0.0	-0.03652826436890448	0.03731802611860412	1.0		277	554	277	4	cot_4	28	0	0	0	0	0	0
reasoningshield	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.6747828024058811	-0.04705725105814218	-0.08429550011138341	-0.015919581198485206	0.02		0.6298507462686567	0.6791044776119403	-0.04925373134328359	-0.08608740402804052	-0.013883649146874668	0.004		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.6645374108248964	-0.02300130291768121	-0.04435173170575423	0.0032886656841385727	0.084		0.6388888888888888	0.6658496732026143	-0.026960784313725505	-0.05382137960966403	-0.0038358516483517047	0.032		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.7177208096026274	-0.029206688475022502	-0.05632322850551946	0.002752870492251952	0.1		0.6787003610108303	0.6895306859205776	-0.010830324909747335	-0.04733376653286827	0.02582421643997631	0.672		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.7034617955001113	-0.06750278458453995	-0.10080686121630657	-0.034842281131655155	0.0		0.6059701492537314	0.6895522388059702	-0.08358208955223878	-0.125	-0.05008069950439096	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.7068862403349139	-0.05656077790593361	-0.07895540977829042	-0.034415349064462405	0.0	0.0	0.6388888888888888	0.6895424836601307	-0.05065359477124187	-0.07697931729327333	-0.021465334544353627	0.0	0.0	612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.7436757940283335	-0.037599864458027654	-0.07074508986172111	-0.007917475791421786	0.016		0.6768953068592057	0.7021660649819494	-0.02527075812274371	-0.06774732398111825	0.011627906976744207	0.256		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.740815326353308	-0.058805970149253706	-0.08802895967921584	-0.031591445756293184	0.0		0.6835820895522388	0.7104477611940299	-0.0268656716417911	-0.06411529680365297	0.009348182115951521	0.14		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.7366490986372762	-0.04788889956854203	-0.06843611831987695	-0.025978322974069785	0.0		0.6805555555555556	0.7066993464052288	-0.02614379084967322	-0.05516915119192958	0.001305662358202425	0.084		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
strongreject_full	32	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7267200145968278	0.7531572156550979	-0.026437201058270077	-0.05830862516128189	0.006510902005760516	0.12		0.7310469314079422	0.7148014440433214	0.016245487364620836	-0.03203146702058702	0.06233823529411761	0.488		277	554	277	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
