run	source	kind	hidden_position	hidden_layer	hidden_layer_combine	hidden_val_auroc	hidden_test_auroc	hidden_test_n	surface_baseline	surface_val_auroc	surface_test_auroc	n_shared_groups	n_aligned_records	n_dropped_left_records	n_dropped_right_records	hidden_minus_surface_auroc	ci_low	ci_high	n_bootstrap_valid	bootstrap_dir
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	cot_128	12		0.860731	0.839595	304	word_bow	0.946969696969697	0.9654605263157894	152	304	0	0	-0.12586565096952906	-0.16772095740997223	-0.085266620498615	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/00_stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard_linear
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	cot_9	12		0.83132	0.702548	670	word_bow	0.9462723865056226	0.9166139451993762	335	670	0	0	-0.21406549342838044	-0.2492229895299621	-0.18136043662285584	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/01_stage1_natural_pairs_8b_a100_1x_loso_reasoningshield_linear
stage1_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	cot_96	17		0.869268	0.814668	553	word_bow	0.9737426035502958	0.9370902787733452	277	553	0	1	-0.1229268037461414	-0.15517112174015046	-0.0944230140837032	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/02_stage1_natural_pairs_8b_a100_1x_loso_strongreject_full_linear
stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	cot_128	14		0.787943	0.825248	4034	char_tfidf	0.9258584807492195	0.9181301656060393	2019	4034	0	4	-0.09272138013929698	-0.10310852354702545	-0.08161121326036298	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/03_stage1_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful_linear
stage1b_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	linear	cot_4	20		0.799702	0.810098	304	word_bow	0.946969696969697	0.9654605263157894	152	304	0	0	-0.15536270775623273	-0.20145321156509696	-0.11216564231301934	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/04_stage1b_natural_pairs_8b_a100_1x_loso_harmbench_standard_linear
stage1b_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	linear	cot_7	32		0.829342	0.679216	670	word_bow	0.9462723865056226	0.9166139451993762	335	670	0	0	-0.2373980842058364	-0.27330864335041216	-0.19934294943194478	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/05_stage1b_natural_pairs_8b_a100_1x_loso_reasoningshield_linear
stage1b_natural_pairs_8b_a100_1x_loso_strongreject_full	strongreject_full	linear	cot_4	20		0.857942	0.746113	554	word_bow	0.9737426035502958	0.9370902787733452	277	554	0	0	-0.19097733581826948	-0.2269428768783642	-0.158008054321052	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/06_stage1b_natural_pairs_8b_a100_1x_loso_strongreject_full_linear
stage1b_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful	wildjailbreak_vanilla_harmful	linear	cot_4	18		0.730229	0.78179	4038	char_tfidf	0.9258584807492195	0.9181301656060393	2019	4038	0	0	-0.1363404762237692	-0.15029280711399218	-0.12210131781753376	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/07_stage1b_natural_pairs_8b_a100_1x_loso_wildjailbreak_vanilla_harmful_linear
stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard	harmbench_standard	multilayer	cot_4		concat	0.798898	0.833254		word_bow	0.946969696969697	0.9654605263157894	152	304	0	0	-0.1322065443213296	-0.17776304968836568	-0.09361798822714686	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/08_stage1_natural_pairs_8b_a100_1x_loso_harmbench_standard_multilayer
stage1_natural_pairs_8b_a100_1x_loso_reasoningshield	reasoningshield	multilayer	cot_8		concat	0.825698	0.711259		word_bow	0.9462723865056226	0.9166139451993762	335	670	0	0	-0.20535531298730225	-0.24263700155936732	-0.169801737580753	2000	/workspace/cot-safety/runs/stage1_post_hb_260705_after_hb_n100_loso/hidden_surface_delta_ci_retune12288_b20/09_stage1_natural_pairs_8b_a100_1x_loso_reasoningshield_multilayer
