baseline	split	n	balanced_accuracy	accuracy	auroc	f1	precision	recall	positive_rate
length_only	train	2360	0.785593	0.785593	0.855392	0.777485	0.808044	0.749153	0.463559
length_only	val	264	0.795455	0.795455	0.868113	0.785714	0.825000	0.750000	0.454545
length_only	test	304	0.861842	0.861842	0.927761	0.860927	0.866667	0.855263	0.493421
prompt_only_tfidf	train	2360	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	val	264	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	test	304	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
word_tfidf	train	2360	0.917797	0.917797	0.981709	0.921202	0.884555	0.961017	0.543220
word_tfidf	val	264	0.875000	0.875000	0.945592	0.881720	0.836735	0.931818	0.556818
word_tfidf	test	304	0.888158	0.888158	0.954683	0.896341	0.835227	0.967105	0.578947
word_bow	train	2360	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.500000
word_bow	val	264	0.852273	0.852273	0.946970	0.855019	0.839416	0.871212	0.518939
word_bow	test	304	0.907895	0.907895	0.965461	0.909091	0.897436	0.921053	0.513158
char_tfidf	train	2360	0.888559	0.888559	0.961560	0.894674	0.848140	0.946610	0.558051
char_tfidf	val	264	0.856061	0.856061	0.936410	0.864286	0.817568	0.916667	0.560606
char_tfidf	test	304	0.871711	0.871711	0.950788	0.877743	0.838323	0.921053	0.549342
first_sentence_removed_tfidf	train	2360	0.916525	0.916525	0.982736	0.920081	0.882490	0.961017	0.544492
first_sentence_removed_tfidf	val	264	0.875000	0.875000	0.946970	0.881720	0.836735	0.931818	0.556818
first_sentence_removed_tfidf	test	304	0.881579	0.881579	0.954337	0.888889	0.837209	0.947368	0.565789
