baseline	split	n	balanced_accuracy	accuracy	auroc	f1	precision	recall	positive_rate
length_only	train	1758	0.795791	0.795791	0.871605	0.789443	0.814770	0.765643	0.469852
length_only	val	196	0.790816	0.790816	0.858705	0.775956	0.835294	0.724490	0.433673
length_only	test	670	0.708955	0.708955	0.795999	0.663212	0.786885	0.573134	0.364179
prompt_only_tfidf	train	1758	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	val	196	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	test	670	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
word_tfidf	train	1758	0.930034	0.930034	0.987983	0.933406	0.890496	0.980660	0.550626
word_tfidf	val	196	0.846939	0.846939	0.926905	0.854369	0.814815	0.897959	0.551020
word_tfidf	test	670	0.828358	0.828358	0.909699	0.831131	0.817919	0.844776	0.516418
word_bow	train	1758	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.500000
word_bow	val	196	0.877551	0.877551	0.946272	0.875000	0.893617	0.857143	0.479592
word_bow	test	670	0.844776	0.844776	0.916614	0.843844	0.848943	0.838806	0.494030
char_tfidf	train	1758	0.895336	0.895336	0.968634	0.901919	0.848546	0.962457	0.567122
char_tfidf	val	196	0.836735	0.836735	0.932632	0.847619	0.794643	0.908163	0.571429
char_tfidf	test	670	0.813433	0.813433	0.899666	0.824191	0.779255	0.874627	0.561194
first_sentence_removed_tfidf	train	1758	0.929465	0.929465	0.988573	0.932973	0.888774	0.981797	0.552332
first_sentence_removed_tfidf	val	196	0.852041	0.852041	0.929404	0.861244	0.810811	0.918367	0.566327
first_sentence_removed_tfidf	test	670	0.823881	0.823881	0.910822	0.830460	0.800554	0.862687	0.538806
