baseline	split	n	balanced_accuracy	accuracy	auroc	f1	precision	recall	positive_rate
length_only	train	1862	0.783029	0.783029	0.853839	0.774554	0.806039	0.745435	0.462406
length_only	val	208	0.841346	0.841346	0.892751	0.835821	0.865979	0.807692	0.466346
length_only	test	554	0.792419	0.792419	0.862855	0.793537	0.789286	0.797834	0.505415
prompt_only_tfidf	train	1862	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	val	208	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	test	554	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
word_tfidf	train	1862	0.923201	0.923201	0.984667	0.926098	0.892430	0.962406	0.539205
word_tfidf	val	208	0.918269	0.918269	0.968288	0.921659	0.884956	0.961538	0.543269
word_tfidf	test	554	0.850181	0.850181	0.940779	0.859560	0.808917	0.916968	0.566787
word_bow	train	1862	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.500000
word_bow	val	208	0.913462	0.913462	0.973743	0.913462	0.913462	0.913462	0.500000
word_bow	test	554	0.855596	0.855596	0.937090	0.851301	0.877395	0.826715	0.471119
char_tfidf	train	1862	0.888292	0.888292	0.968042	0.894949	0.844614	0.951665	0.563373
char_tfidf	val	208	0.903846	0.903846	0.962463	0.907407	0.875000	0.942308	0.538462
char_tfidf	test	554	0.848375	0.848375	0.930183	0.855172	0.818482	0.895307	0.546931
first_sentence_removed_tfidf	train	1862	0.920516	0.920516	0.985846	0.923868	0.886476	0.964554	0.544039
first_sentence_removed_tfidf	val	208	0.913462	0.913462	0.968473	0.917431	0.877193	0.961538	0.548077
first_sentence_removed_tfidf	test	554	0.859206	0.859206	0.941157	0.867347	0.819936	0.920578	0.561372
