baseline	split	n	balanced_accuracy	accuracy	auroc	f1	precision	recall	positive_rate
length_only	train	1100	0.766364	0.766364	0.829104	0.757318	0.787819	0.729091	0.462727
length_only	val	124	0.709677	0.709677	0.775494	0.694915	0.732143	0.661290	0.451613
length_only	test	4038	0.812531	0.812531	0.878881	0.814415	0.806311	0.822684	0.510154
prompt_only_tfidf	train	1100	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	val	124	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
prompt_only_tfidf	test	4038	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000
word_tfidf	train	1100	0.930909	0.930909	0.985507	0.932862	0.907216	0.960000	0.529091
word_tfidf	val	124	0.854839	0.854839	0.917534	0.861538	0.823529	0.903226	0.548387
word_tfidf	test	4038	0.852897	0.852897	0.929127	0.866816	0.791889	0.957405	0.604507
word_bow	train	1100	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.500000
word_bow	val	124	0.862903	0.862903	0.918314	0.861789	0.868852	0.854839	0.491935
word_bow	test	4038	0.883358	0.883358	0.944632	0.889203	0.846774	0.936107	0.552749
char_tfidf	train	1100	0.891818	0.891818	0.960945	0.896251	0.860972	0.934545	0.542727
char_tfidf	val	124	0.838710	0.838710	0.925858	0.848485	0.800000	0.903226	0.564516
char_tfidf	test	4038	0.850421	0.850421	0.918130	0.862914	0.796397	0.941555	0.591134
first_sentence_removed_tfidf	train	1100	0.930909	0.930909	0.986321	0.932862	0.907216	0.960000	0.529091
first_sentence_removed_tfidf	val	124	0.846774	0.846774	0.921176	0.852713	0.820896	0.887097	0.540323
first_sentence_removed_tfidf	test	4038	0.850421	0.850421	0.928628	0.864937	0.788422	0.957900	0.607479
