model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	control_cot_3	7	8884	1128	1135	0.951065532345	0.685714285714	0.0495283018868	0.957388723311	0.868226641907	0.718213058419	0.0497630331754	0.87691038847	1722	0.864534551685	0.713176616857	0.452427184466	0.0613090306545
linear	control_cot_3	8	8884	1128	1135	0.955706704852	0.728571428571	0.0495283018868	0.959159867103	0.879688877901	0.735395189003	0.0497630331754	0.867290735245	1722	0.87168056885	0.723676788391	0.500970873786	0.0604805302403
linear	control_cot_3	14	8884	1128	1135	0.967318059299	0.785714285714	0.0471698113208	0.965267259491	0.889682211279	0.831615120275	0.0627962085308	0.813911616802	1722	0.882050498307	0.741534010941	0.607766990291	0.0811930405965
linear	control_cot_3	16	8884	1128	1135	0.971293800539	0.853571428571	0.0459905660377	0.968601895735	0.906046027804	0.85910652921	0.0675355450237	0.804595470428	1722	0.886453616042	0.753130620028	0.650485436893	0.100248550124
linear	control_cot_3	17	8884	1128	1135	0.970539925876	0.857142857143	0.0448113207547	0.968190664647	0.905395032656	0.862542955326	0.0722748815166	0.79	1722	0.884289862533	0.759552974408	0.66213592233	0.101077050539
linear	control_cot_3	20	8884	1128	1135	0.969983995957	0.867857142857	0.0483490566038	0.966891825866	0.897373820122	0.841924398625	0.0699052132701	0.807316124439	1722	0.888141182906	0.76589908431	0.66213592233	0.09942004971
linear	control_cot_3	21	8884	1128	1135	0.972030828841	0.889285714286	0.0459905660377	0.967364130877	0.903225381209	0.835051546392	0.0722748815166	0.797964632511	1722	0.881179366318	0.757244314852	0.650485436893	0.102734051367
linear	control_cot_3	22	8884	1128	1135	0.970843160377	0.878571428571	0.0483490566038	0.967820149509	0.903435599527	0.845360824742	0.0734597156398	0.799241602421	1722	0.890893734767	0.766638913247	0.656310679612	0.10521955261
linear	control_cot_3	24	8884	1128	1135	0.972494103774	0.871428571429	0.0495283018868	0.969021270012	0.908343198791	0.872852233677	0.0710900473934	0.799629509449	1722	0.890977389178	0.767635937796	0.667961165049	0.0985915492958
linear	control_cot_3	25	8884	1128	1135	0.970758928571	0.882142857143	0.0495283018868	0.968960196088	0.905663108576	0.85910652921	0.0710900473934	0.802651047707	1722	0.882903129801	0.755985365211	0.629126213592	0.0985915492958
linear	control_cot_3	28	8884	1128	1135	0.970253537736	0.860714285714	0.0495283018868	0.970104314262	0.904727268235	0.848797250859	0.0687203791469	0.799066722393	1722	0.88265055783	0.766667831315	0.673786407767	0.0985915492958
linear	control_cot_3	32	8884	1128	1135	0.966652628032	0.871428571429	0.0495283018868	0.967046546473	0.894672941586	0.845360824742	0.0734597156398	0.815113127232	1722	0.884732265667	0.749774653127	0.691262135922	0.106048053024
linear	control_cot_4	7	8884	1128	1135	0.954721192722	0.689285714286	0.0495283018868	0.960595104314	0.878823871824	0.756013745704	0.0462085308057	0.868053078651	1722	0.861572863796	0.720458289336	0.479611650485	0.0613090306545
linear	control_cot_4	8	8884	1128	1135	0.954064184636	0.703571428571	0.0495283018868	0.95373039527	0.873750015313	0.742268041237	0.0462085308057	0.871363461018	1722	0.866362078812	0.732280833906	0.483495145631	0.0613090306545
linear	control_cot_4	14	8884	1128	1135	0.965780828841	0.792857142857	0.0471698113208	0.965871891337	0.898047407532	0.821305841924	0.0556872037915	0.833103477955	1722	0.899672621681	0.785286490511	0.704854368932	0.0869925434963
linear	control_cot_4	16	8884	1128	1135	0.968998483827	0.85	0.0471698113208	0.96706486865	0.897363475209	0.838487972509	0.0592417061611	0.829751729965	1722	0.907830535469	0.805950601253	0.733980582524	0.0952775476388
linear	control_cot_4	17	8884	1128	1135	0.969845013477	0.846428571429	0.0471698113208	0.96923910034	0.902632834375	0.835051546392	0.063981042654	0.836011946201	1722	0.910779353448	0.813931767082	0.722330097087	0.0977630488815
linear	control_cot_4	20	8884	1128	1135	0.967482311321	0.860714285714	0.0483490566038	0.968221201609	0.909374619157	0.831615120275	0.0663507109005	0.81	1722	0.903880277668	0.79624224603	0.763106796117	0.123446561723
linear	control_cot_4	21	8884	1128	1135	0.965448113208	0.867857142857	0.0495283018868	0.967948404749	0.911733693226	0.841924398625	0.0651658767773	0.806331813335	1722	0.90240425994	0.797198191966	0.780582524272	0.121789560895
linear	control_cot_4	22	8884	1128	1135	0.968926886792	0.857142857143	0.0471698113208	0.969581114314	0.912560597455	0.831615120275	0.0604265402844	0.831393659115	1722	0.909386185761	0.813753910653	0.755339805825	0.0969345484673
linear	control_cot_4	24	8884	1128	1135	0.967010613208	0.842857142857	0.0471698113208	0.969369391378	0.916141949396	0.821305841924	0.0580568720379	0.83	1722	0.898855382437	0.797102344979	0.733980582524	0.106876553438
linear	control_cot_4	25	8884	1128	1135	0.969002695418	0.864285714286	0.0495283018868	0.969560756339	0.912751125905	0.838487972509	0.0663507109005	0.821754276752	1722	0.902043902478	0.807172513463	0.739805825243	0.104391052196
linear	control_cot_4	28	8884	1128	1135	0.968817385445	0.846428571429	0.0483490566038	0.969625901858	0.912505761026	0.838487972509	0.0604265402844	0.83	1722	0.896032046074	0.79008187461	0.743689320388	0.106876553438
linear	control_cot_4	32	8884	1128	1135	0.969693396226	0.875	0.0495283018868	0.971311542157	0.913184250381	0.848797250859	0.0627962085308	0.816287338734	1722	0.900235680215	0.790434844414	0.732038834951	0.109362054681
linear	cot_3	7	8884	1128	1135	0.951869946092	0.692857142857	0.0483490566038	0.955499503265	0.863201997677	0.704467353952	0.0473933649289	0.88	1722	0.865269745256	0.719026490608	0.512621359223	0.0604805302403
linear	cot_3	8	8884	1128	1135	0.95397995283	0.714285714286	0.0495283018868	0.957620804221	0.876903908634	0.714776632302	0.0509478672986	0.87064987421	1722	0.866146507831	0.715837161452	0.473786407767	0.059652029826
linear	cot_3	14	8884	1128	1135	0.970961084906	0.85	0.0483490566038	0.967421133206	0.903116487703	0.862542955326	0.0675355450237	0.798348963261	1722	0.886239653799	0.74350825509	0.687378640777	0.11101905551
linear	cot_3	16	8884	1128	1135	0.969436489218	0.878571428571	0.0448113207547	0.968263953356	0.906652995163	0.862542955326	0.0699052132701	0.8	1722	0.891643406987	0.757494548119	0.652427184466	0.102734051367
linear	cot_3	17	8884	1128	1135	0.970923180593	0.864285714286	0.0483490566038	0.963878845621	0.898895852241	0.852233676976	0.0781990521327	0.79	1722	0.892274032545	0.766034732916	0.720388349515	0.115990057995
linear	cot_3	20	8884	1128	1135	0.972270889488	0.85	0.0483490566038	0.967645070927	0.907405886441	0.831615120275	0.0675355450237	0.805787742138	1722	0.880724897644	0.759064465524	0.650485436893	0.101905550953
linear	cot_3	21	8884	1128	1135	0.969112196765	0.864285714286	0.0471698113208	0.964668735037	0.9020720325	0.835051546392	0.0710900473934	0.81	1722	0.878076913796	0.758489465473	0.650485436893	0.0985915492958
linear	cot_3	22	8884	1128	1135	0.971866576819	0.867857142857	0.0459905660377	0.966781892803	0.901009749498	0.831615120275	0.0722748815166	0.812260627747	1722	0.877521898955	0.74988649293	0.61359223301	0.0969345484673
linear	cot_3	24	8884	1128	1135	0.971074797844	0.882142857143	0.0495283018868	0.968776974316	0.908702605788	0.845360824742	0.0675355450237	0.798989057541	1722	0.886292742175	0.764269214457	0.644660194175	0.0977630488815
linear	cot_3	25	8884	1128	1135	0.970215633423	0.882142857143	0.0459905660377	0.969575006922	0.906018105283	0.848797250859	0.0675355450237	0.8	1722	0.885613854457	0.764042083675	0.623300970874	0.0985915492958
linear	cot_3	28	8884	1128	1135	0.969655491914	0.860714285714	0.0424528301887	0.969595364896	0.902093970071	0.855670103093	0.0651658767773	0.82	1722	0.891318441776	0.77600771011	0.652427184466	0.0903065451533
linear	cot_3	32	8884	1128	1135	0.967094845013	0.835714285714	0.0448113207547	0.967559567434	0.890212947502	0.831615120275	0.0687203791469	0.839418828487	1722	0.882640905398	0.746640709109	0.623300970874	0.096106048053
linear	cot_4	7	8884	1128	1135	0.950581199461	0.707142857143	0.0495283018868	0.957932281233	0.867208216521	0.725085910653	0.0450236966825	0.874841570854	1722	0.861368553985	0.719650594121	0.471844660194	0.0579950289975
linear	cot_4	8	8884	1128	1135	0.952720687332	0.696428571429	0.0495283018868	0.951450302112	0.871494229792	0.718213058419	0.0473933649289	0.884723365307	1722	0.869317331746	0.737308860123	0.502912621359	0.0571665285833
linear	cot_4	14	8884	1128	1135	0.964955357143	0.785714285714	0.0471698113208	0.966653637563	0.897789894971	0.831615120275	0.0568720379147	0.831886351109	1722	0.893269841781	0.777263113576	0.664077669903	0.079536039768
linear	cot_4	16	8884	1128	1135	0.97003032345	0.853571428571	0.0495283018868	0.9673458087	0.898952150529	0.852233676976	0.0687203791469	0.806107521057	1722	0.906273276438	0.803783368505	0.732038834951	0.102734051367
linear	cot_4	17	8884	1128	1135	0.970468328841	0.835714285714	0.0495283018868	0.969051806974	0.904865852552	0.841924398625	0.0604265402844	0.822094082832	1722	0.905049026311	0.808068530381	0.745631067961	0.100248550124
linear	cot_4	20	8884	1128	1135	0.968370956873	0.864285714286	0.0483490566038	0.968225273204	0.913736333901	0.838487972509	0.0627962085308	0.809076488018	1722	0.912986542901	0.822251433355	0.772815533981	0.111847555924
linear	cot_4	21	8884	1128	1135	0.965658692722	0.864285714286	0.0471698113208	0.969316460644	0.913321944188	0.831615120275	0.0627962085308	0.81	1722	0.90662076399	0.808999327287	0.753398058252	0.106048053024
linear	cot_4	22	8884	1128	1135	0.968156165768	0.871428571429	0.0471698113208	0.971905995016	0.921061746431	0.817869415808	0.0604265402844	0.829178631306	1722	0.904109522929	0.80766309888	0.735922330097	0.0977630488815
